, PART A.  REQUESTS FOR EXPEDITED SERVICE,,,,," PART A.  REQUESTS FOR EXPEDITED SERVICE, Cont'd",,,,,,,,,," PART A.  REQUESTS FOR EXPEDITED SERVICE, Cont'd",,,,,,,,,PART B.  APPLICATION COMPLIANCE INFORMATION,,
,,,,,,"DISPOSED OF DURING THE QUARTER, Cont'd",,,,,,,,,,DISPOSED OF DURING THE QUARTER,,,,,,,,,HOUSEHOLDS DISCONTINUED DUE,,
,,,,,,"ENTITLED TO EXPEDITED SERVICE, Cont'd",,,,,,,,,,ENTITLED TO EXPEDITED SERVICE,,,,,N0T ENTITLED,,,,TO RECIPENTS FAILURE TO,,
,PENDING,ITEM 5,,RECEIVED,TOTAL, PAFS,,,,,NAFS,,,,,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,PAFS,NAFS,TOTAL,,COMPLETE APPLICATION PROCESS,,
,FROM,FROM,,DURING,ON HAND,TOTAL PAFS,TOTAL,,,,TOTAL NAFS,TOTAL,,,,PAFS & NAFS,PAFS &,PAFS & NAFS,PAFS & NAFS,PAFS & NAFS,,,PAFS & NAFS,PENDING,,,
COUNTY,PRIOR,LAST RPT,,QUARTER,DURING,DISPOSED OF,PAFS,1-3 DAYS,4-7 DAYS,   OVER,DISPOSED OF,NAFS,1-3 DAYS,4-7 DAYS,OVER,DISPOSED OF,NAFS,ISSUED,ISSUED,ISSUED,,,NOT,END OF,PAFS,NAFS,TOTAL
,QUARTER,QUARTER,ADJ,,QUARTER,DURING QTR, ENTITLED,,,7 DAYS,DURING QTR, ENTITLED,,,7 DAYS,DURING QTR,ENTITLED,1-3 DAYS,4-7 DAYS,OVER 7DAYS,,,ENTITLED,QUARTER,,,
,1.0,1a,1b,     2,3.0,4.0,4a ,4a1,4a2,4a3,4.0,4.0,4a1,4a2,4a3,4.0,4.0,4a1,4b2,4b3,4b(A),4b(B),4b,5.0,6(C),6(A),6(B)
Data Cell,1.0,2.0,3.0,4.0,5.0,6.0,9.0,12.0,15.0,18.0,7.0,10.0,13.0,16.0,19.0,8.0,11.0,14.0,17.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0
Statewide,27773.0,42881.0,-15108.0,230889.0,258662.0,16009.0,7200.0,5066.0,768.0,1366.0,204521.0,83932.0,75132.0,5392.0,3408.0,220530.0,91132.0,80198.0,6160.0,4774.0,8809.0,120589.0,129398.0,38132.0,148.0,7810.0,7958.0
Alameda,0.0,0.0,0.0,5964.0,5964.0,265.0,157.0,114.0,15.0,28.0,5699.0,3826.0,3490.0,199.0,137.0,5964.0,3983.0,3604.0,214.0,165.0,108.0,1873.0,1981.0,0.0,2.0,151.0,153.0
