,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"% Medi-Cal Beneficiaries Receiving CalFresh, 2016",,,,, - 2017
"% Medi-Cal Beneficiaries Receiving CalFresh, 2016 - 2017",,,,,2017.0
,,,,,
,,,,,
Sum of MC_rec_CF_Pct,,County,,,
C_Year,Month,53 Trinity,54 Tulare,55 Tuolumne,
2016.0,,,,,
,January,0.350908372828,0.475170604884,0.360448156988,
,April,0.340019665683,0.468942878409,0.353146150238,
,July,0.337574552684,0.458429508247,0.354476333995,
,October,0.331118060985,0.454833416021,0.354881084071,
2017.0,,,,,
,January,0.327119309262,0.461048653395,0.355911074174,
,April,0.33320111067,0.456881389258,0.341613617492,
,July,0.328974254189,0.450956896319,0.334833356771,
,October,0.335814722911,0.449159265792,0.329579472559,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"% CalFresh Persons Receiving Medi-Cal, 2016",,,,, - 2017
"% CalFresh Persons Receiving Medi-Cal, 2016 - 2017",,,,,2017.0
,,,,,
,,,,,
Sum of CF_Persons_rec_MC_Pct,,County,,,
C_Year,Month,53 Trinity,54 Tulare,55 Tuolumne,
2016.0,,,,,
,January,0.94370685077,0.962341046082,0.949362668064,
,April,0.945842450766,0.966274460454,0.937889304147,
,July,0.94966442953,0.966499621328,0.932600468553,
,October,0.935394809498,0.967511487068,0.93429195486,
2017.0,,,,,
,January,0.931805477921,0.968601881481,0.933175957872,
,April,0.951841359773,0.96981430458,0.941995802328,
,July,0.947058823529,0.968633617479,0.939065273122,
,October,0.932797242964,0.968895904295,0.941176470588,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"CalFresh Persons Receiving Medi-Cal, 2016",,,,, - 2017
"CalFresh Persons Receiving Medi-Cal, 2016 - 2017",,,,,2017.0
,,,,,
,,,,,
Sum of CF_Persons_rec_MC,,County,,,
C_Year,Month,53 Trinity,54 Tulare,55 Tuolumne,
2016.0,,,,,
,January,1777.0,123733.0,5437.0,
,April,1729.0,122856.0,5270.0,
,July,1698.0,119960.0,5175.0,
,October,1694.0,119180.0,5133.0,
2017.0,,,,,
,January,1667.0,120774.0,5139.0,
,April,1680.0,118971.0,4937.0,
,July,1610.0,117040.0,4762.0,
,October,1624.0,116626.0,4624.0,
