,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"CalFresh Persons (Annual Average), State Fiscal Year 2015/16",,,, - 2016/17,
"CalFresh Persons (Annual Average), State Fiscal Year 2015/16 - 2016/17",,,,,
,,,,,
,,,,,
Sum of CF_Persons_SFY_Avg,Column Labels,,,,
Row Labels,01 Alameda,07 Contra Costa,,,
2015/16,119341.083333,70785.8333333,,,
2016/17,112034.75,64666.4166667,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"CalFresh Persons (Annual Average), Calendar Year 2016",,,, - 2017,
"CalFresh Persons (Annual Average), Calendar Year 2016 - 2017",,,,,
,,,,,
Sum of CF_Persons_CY_Avg,Column Labels,,,,
Row Labels,01 Alameda,07 Contra Costa,,,
2016.0,116103.25,67936.5833333,,,
2017.0,108256.25,62952.0833333,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"CalFresh Annual Average Persons - Calendar Year, 2015",,,,, - 2016
"CalFresh Annual Average Persons - Calendar Year, 2015 - 2016",,,,,
,,,,,
,,,,,
CF Persons CY Avg,Column Labels,,,,
Row Labels,12 Humboldt,23 Mendocino,53 Trinity,,
2015.0,20982.6666667,13191.75,1832.25,,
2016.0,21216.1666667,12644.1666667,1757.41666667,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"Unemployment Rate - Calendar Year, 2015",,,,,
"Unemployment Rate - Calendar Year, 2015 - 2016",,,,, - 2016
,,,,,
,,,,,
Sum of Unemployment_Pct_CY,Column Labels,,,,
Row Labels,12 Humboldt,23 Mendocino,53 Trinity,,
2015.0,0.056,0.059,0.078,,
2016.0,0.049,0.052,0.071,,
