,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"CalFresh Persons (Monthly), 2015",,,,, - 2016
"CalFresh Persons (Monthly), 2015 - 2016",,,,,2016.0
,,,,,
,,,,,
,,,,,
Sum of CF_Persons,,County,,,
Calendar_Year,Month,00 Statewide,,,
2015.0,January,4445534.0,,,
,February,4443927.0,,,
,March,4457512.0,,,
,April,4462799.0,,,
,May,4467237.0,,,
,June,4475536.0,,,
,July,4480570.0,,,
,August,4489067.0,,,
,September,4488728.0,,,
,October,4488298.0,,,
,November,4470592.0,,,
,December,4464072.0,,,
2016.0,January,4431693.0,,,
,February,4412595.0,,,
,March,4415861.0,,,
,April,4368561.0,,,
,May,4350990.0,,,
,June,4335244.0,,,
,July,4304439.0,,,
,August,4314186.0,,,
,September,4246017.0,,,
,October,4276281.0,,,
,November,4274362.0,,,
,December,4241732.0,,,
