,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"CalFresh Persons Calendar Year Average (PRI numerator), 2015",,,,,
"CalFresh Persons Calendar Year Average (PRI numerator), 2015",,,,,0.0
,,,,,
,,,,,
Sum of CF_Persons_CY_Avg,Column Labels,,,,
Row Labels,33 Riverside,34 Sacramento,35 San Benito,,
2015.0,294433.166667,219942.75,6089.33333333,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"Estimated CalFresh Eligibles, Calendar Year (PRI adjusted denominator), 2015",,,,,
"Estimated CalFresh Eligibles, Calendar Year (PRI adjusted denominator), 2015",,,,,0.0
,,,,,
,,,,,
Sum of CF_Eligibles_CY,Column Labels,,,,
Row Labels,33 Riverside,34 Sacramento,35 San Benito,,
2015.0,423742.190648,264162.852694,7772.21144198,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"CalFresh Children (under age 18), 2017",,,,,
"CalFresh Children (under age 18), 2017",,,,,0.0
,,,,,
Sum of Children_CF_July,Column Labels,,,,
Row Labels,21 Marin,27 Monterey,28 Napa,,
2017.0,5609.0,38798.0,4556.0,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"CalFresh Child-Only Households, 2017",,,,,
"CalFresh Child-Only Households, 2017",,,,,0.0
,,,,,
,,,,,
Sum of Child_Only_HHs_CF_July_CY,Column Labels,,,,
Row Labels,21 Marin,27 Monterey,28 Napa,,
2017.0,653.0,5509.0,436.0,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"CalFresh ESL Population (all ages), 2017",,,,,
"CalFresh ESL Population (all ages), 2017",,,,,0.0
,,,,,
Sum of ESL_CF_July_CY,Column Labels,,,,
Row Labels,21 Marin,27 Monterey,28 Napa,,
2017.0,4837.0,31264.0,3345.0,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"CalFresh Elderly Population (age 60+), 2017",,,,,
"CalFresh Elderly Population (age 60+), 2017",,,,,0.0
,,,,,
Sum of Elderly_CF_July,Column Labels,,,,
Row Labels,21 Marin,27 Monterey,28 Napa,,
2017.0,1655.0,3814.0,764.0,,
