county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail_ebt,issuances_contract_otc,issuances_other_otc,issuances_total,val_issuances_fed_only,val_issuances_fed_st_fed,val_issuances_fed_st_st,val_issuences_st_only,val_issuances_tot_fed,val_issuances_tot_st,val_issuances_tot_all,year,month,quarter,fulldate,issuances_mail,issuances_ebt,issuances_ebt_conv_coupon
San Luis Obispo,1124.0,9.0,0.0,1232.0,27.0,10.0,2356.0,36.0,10.0,2759.0,3082.0,5841.0,18.0,12.0,54.0,31.0,72.0,43.0,0.0,11.0,11.0,2941.0,0.0,0.0,2941.0,489429.0,6992.0,1997.0,999.0,496421.0,2996.0,499417.0,2003,JUL,3.0,2003-07-01,,,
San Mateo,1361.0,14.0,1.0,1747.0,17.0,14.0,3108.0,31.0,15.0,3290.0,3653.0,6943.0,44.0,14.0,26.0,17.0,70.0,31.0,1.0,14.0,15.0,0.0,0.0,0.0,0.0,653492.0,2892.0,8460.0,2543.0,656384.0,11003.0,667387.0,2003,JUL,3.0,2003-07-01,,,
Santa Barbara,3172.0,85.0,6.0,2820.0,77.0,28.0,5992.0,162.0,34.0,6569.0,7144.0,13713.0,174.0,86.0,224.0,110.0,398.0,196.0,10.0,50.0,60.0,6734.0,0.0,0.0,6734.0,1125382.0,33624.0,7159.0,6263.0,1159006.0,13422.0,1172428.0,2003,JUL,3.0,2003-07-01,,,
Santa Clara,9220.0,105.0,13.0,9834.0,199.0,240.0,19054.0,304.0,253.0,24578.0,21965.0,46543.0,205.0,120.0,408.0,255.0,613.0,375.0,32.0,442.0,474.0,19973.0,0.0,0.0,19973.0,3931337.0,58441.0,28380.0,51820.0,3989778.0,80200.0,4069978.0,2003,JUL,3.0,2003-07-01,,,
Santa Cruz,1378.0,39.0,0.0,2215.0,23.0,5.0,3593.0,62.0,5.0,3184.0,4686.0,7870.0,62.0,40.0,23.0,28.0,85.0,68.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,658888.0,13472.0,4522.0,652.0,672360.0,5174.0,677534.0,2003,JUL,3.0,2003-07-01,,,
Shasta,1622.0,18.0,1.0,2626.0,59.0,5.0,4248.0,77.0,6.0,4295.0,5871.0,10166.0,56.0,23.0,187.0,70.0,243.0,93.0,1.0,6.0,7.0,4948.0,0.0,389.0,5337.0,898690.0,20394.0,5159.0,615.0,919084.0,5774.0,924858.0,2003,JUL,3.0,2003-07-01,,,
Sierra,16.0,0.0,0.0,23.0,0.0,0.0,39.0,0.0,0.0,49.0,38.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,39.0,7290.0,0.0,0.0,0.0,7290.0,0.0,7290.0,2003,JUL,3.0,2003-07-01,,,
Siskiyou,474.0,4.0,0.0,875.0,12.0,2.0,1349.0,16.0,2.0,1327.0,1849.0,3176.0,9.0,4.0,32.0,16.0,41.0,20.0,0.0,2.0,2.0,1184.0,0.0,254.0,1438.0,261099.0,3445.0,1584.0,161.0,264544.0,1745.0,266289.0,2003,JUL,3.0,2003-07-01,,,
Solano,3207.0,8.0,3.0,1839.0,12.0,17.0,5046.0,20.0,20.0,9198.0,3520.0,12718.0,11.0,25.0,13.0,19.0,24.0,44.0,11.0,21.0,32.0,0.0,0.0,4978.0,4978.0,1019538.0,8837.0,282.0,3123.0,1028375.0,3405.0,1031780.0,2003,JUL,3.0,2003-07-01,,,
Sonoma,1707.0,3.0,0.0,2793.0,19.0,7.0,4500.0,22.0,7.0,4032.0,5367.0,9399.0,7.0,3.0,41.0,32.0,48.0,35.0,0.0,10.0,10.0,5010.0,0.0,0.0,5010.0,794505.0,6044.0,2548.0,893.0,800549.0,3441.0,803990.0,2003,JUL,3.0,2003-07-01,,,
Stanislaus,5585.0,62.0,2.0,5722.0,130.0,41.0,11307.0,192.0,43.0,16224.0,16490.0,32714.0,150.0,74.0,419.0,179.0,569.0,253.0,4.0,71.0,75.0,0.0,0.0,12067.0,12067.0,2600180.0,47176.0,12933.0,7650.0,2647356.0,20583.0,2667939.0,2003,JUL,3.0,2003-07-01,,,
Sutter,482.0,4.0,0.0,1066.0,17.0,1.0,1548.0,21.0,1.0,1379.0,2832.0,4211.0,18.0,5.0,59.0,21.0,77.0,26.0,0.0,1.0,1.0,1274.0,0.0,421.0,1695.0,338190.0,5504.0,879.0,10.0,343694.0,889.0,344583.0,2003,JUL,3.0,2003-07-01,,,
Tehama,678.0,1.0,0.0,1262.0,3.0,1.0,1940.0,4.0,1.0,1649.0,2994.0,4643.0,3.0,1.0,7.0,3.0,10.0,4.0,0.0,1.0,1.0,1940.0,0.0,0.0,1940.0,372205.0,983.0,401.0,139.0,373188.0,540.0,373728.0,2003,JUL,3.0,2003-07-01,,,
Trinity,108.0,0.0,0.0,193.0,0.0,1.0,301.0,0.0,1.0,297.0,469.0,766.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,232.0,0.0,70.0,302.0,63477.0,0.0,0.0,139.0,63477.0,139.0,63616.0,2003,JUL,3.0,2003-07-01,,,
Tulare,9982.0,251.0,6.0,6087.0,316.0,76.0,16069.0,567.0,82.0,30939.0,14617.0,45556.0,459.0,448.0,643.0,751.0,1102.0,1199.0,19.0,322.0,341.0,18581.0,0.0,0.0,18581.0,3499592.0,127680.0,34042.0,12292.0,3627272.0,46334.0,3673606.0,2003,JUL,3.0,2003-07-01,,,
Tuolumne,365.0,0.0,0.0,518.0,0.0,0.0,883.0,0.0,0.0,1035.0,1177.0,2212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,946.0,0.0,953.0,167273.0,0.0,0.0,0.0,167273.0,0.0,167273.0,2003,JUL,3.0,2003-07-01,,,
Ventura,3698.0,25.0,6.0,4818.0,86.0,33.0,8516.0,111.0,39.0,10208.0,11493.0,21701.0,62.0,27.0,225.0,109.0,287.0,136.0,22.0,47.0,69.0,9278.0,0.0,0.0,9278.0,1719885.0,0.0,0.0,12341.0,1719885.0,12341.0,1732226.0,2003,JUL,3.0,2003-07-01,,,
Yolo,1788.0,42.0,3.0,1240.0,27.0,23.0,3028.0,69.0,26.0,5239.0,2553.0,7792.0,76.0,64.0,57.0,35.0,133.0,99.0,4.0,53.0,57.0,0.0,0.0,3123.0,3123.0,632349.0,16710.0,5401.0,5455.0,649059.0,10856.0,659915.0,2003,JUL,3.0,2003-07-01,,,
Yuba,1013.0,35.0,2.0,1354.0,49.0,14.0,2367.0,84.0,16.0,3021.0,3667.0,6688.0,178.0,40.0,240.0,66.0,418.0,106.0,2.0,17.0,19.0,2315.0,0.0,550.0,2865.0,550912.0,27810.0,6907.0,3359.0,578722.0,10266.0,588988.0,2003,JUL,3.0,2003-07-01,,,
California,316608.0,3954.0,439.0,428084.0,6072.0,4274.0,744692.0,10026.0,4713.0,854815.0,1030532.0,1885347.0,8641.0,4987.0,17088.0,7843.0,25729.0,12830.0,1433.0,6085.0,7518.0,,2025.0,3020.0,858787.0,170727533.0,,,1489689.0,,,172217222.0,2004,JUN,2.0,2004-06-01,2691.0,851051.0,355.0
Alameda,15331.0,72.0,0.0,9794.0,86.0,119.0,25125.0,158.0,119.0,39247.0,25073.0,64320.0,149.0,77.0,221.0,99.0,370.0,176.0,0.0,167.0,167.0,,0.0,0.0,25402.0,5096683.0,,,34325.0,,,5131008.0,2004,JUN,2.0,2004-06-01,0.0,25402.0,0.0
Alpine,9.0,0.0,0.0,27.0,0.0,0.0,36.0,0.0,0.0,24.0,66.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,36.0,6964.0,,,0.0,,,6964.0,2004,JUN,2.0,2004-06-01,0.0,36.0,0.0
Amador,140.0,0.0,0.0,324.0,0.0,0.0,464.0,0.0,0.0,360.0,666.0,1026.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,527.0,99270.0,,,0.0,,,99270.0,2004,JUN,2.0,2004-06-01,443.0,84.0,0.0
Butte,2362.0,0.0,0.0,4231.0,3.0,2.0,6593.0,3.0,2.0,6499.0,10367.0,16866.0,0.0,0.0,7.0,3.0,7.0,3.0,0.0,2.0,2.0,,0.0,0.0,7109.0,1466804.0,,,497.0,,,1467301.0,2004,JUN,2.0,2004-06-01,0.0,7109.0,0.0
Calaveras,238.0,0.0,0.0,565.0,0.0,0.0,803.0,0.0,0.0,575.0,931.0,1506.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,156.0,713.0,140258.0,,,0.0,,,140258.0,2004,JUN,2.0,2004-06-01,557.0,0.0,0.0
Colusa,74.0,0.0,0.0,337.0,7.0,3.0,411.0,7.0,3.0,204.0,905.0,1109.0,0.0,0.0,18.0,7.0,18.0,7.0,0.0,4.0,4.0,,0.0,0.0,445.0,86843.0,,,584.0,,,87427.0,2004,JUN,2.0,2004-06-01,0.0,445.0,0.0
Contra Costa,6577.0,51.0,3.0,3965.0,30.0,15.0,10542.0,81.0,18.0,18192.0,8113.0,26305.0,113.0,62.0,87.0,36.0,200.0,98.0,10.0,23.0,33.0,,0.0,0.0,11960.0,2348941.0,,,9342.0,,,2358283.0,2004,JUN,2.0,2004-06-01,0.0,11960.0,0.0
Del Norte,524.0,0.0,0.0,936.0,0.0,0.0,1460.0,0.0,0.0,1501.0,2007.0,3508.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1460.0,297961.0,,,7.0,,,297968.0,2004,JUN,2.0,2004-06-01,0.0,1460.0,0.0
El Dorado,583.0,0.0,0.0,1118.0,4.0,2.0,1701.0,4.0,2.0,1549.0,2286.0,3835.0,0.0,0.0,11.0,5.0,11.0,5.0,0.0,2.0,2.0,,0.0,0.0,1836.0,334990.0,,,406.0,,,335396.0,2004,JUN,2.0,2004-06-01,0.0,1836.0,0.0
Fresno,20445.0,147.0,4.0,14383.0,214.0,11.0,34828.0,361.0,15.0,66527.0,36708.0,103235.0,414.0,162.0,699.0,238.0,1113.0,400.0,13.0,13.0,26.0,,0.0,0.0,38593.0,8726412.0,,,24094.0,,,8750506.0,2004,JUN,2.0,2004-06-01,0.0,38593.0,0.0
Glenn,230.0,0.0,0.0,577.0,2.0,0.0,807.0,2.0,0.0,646.0,1549.0,2195.0,0.0,0.0,4.0,2.0,4.0,2.0,0.0,0.0,0.0,,0.0,0.0,903.0,170536.0,,,157.0,,,170693.0,2004,JUN,2.0,2004-06-01,0.0,903.0,0.0
Humboldt,1155.0,0.0,0.0,3342.0,1.0,2.0,4497.0,1.0,2.0,2978.0,6814.0,9792.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,2.0,2.0,,0.0,0.0,4994.0,918109.0,,,173.0,,,918282.0,2004,JUN,2.0,2004-06-01,0.0,4994.0,0.0
Imperial,1595.0,3.0,0.0,4014.0,67.0,15.0,5609.0,70.0,15.0,4804.0,11733.0,16537.0,11.0,3.0,178.0,69.0,189.0,72.0,0.0,27.0,27.0,,0.0,0.0,5694.0,1361848.0,,,6437.0,,,1368285.0,2004,JUN,2.0,2004-06-01,0.0,5694.0,0.0
Inyo,59.0,0.0,0.0,340.0,0.0,0.0,399.0,0.0,0.0,158.0,709.0,867.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,441.0,78818.0,,,0.0,,,78818.0,2004,JUN,2.0,2004-06-01,0.0,441.0,0.0
Kern,7750.0,4.0,0.0,17472.0,180.0,46.0,25222.0,184.0,46.0,22414.0,50214.0,72628.0,13.0,5.0,524.0,187.0,537.0,192.0,0.0,54.0,54.0,,0.0,0.0,27330.0,6111702.0,,,22477.0,,,6134179.0,2004,JUN,2.0,2004-06-01,0.0,27330.0,0.0
Kings,1372.0,1.0,0.0,3212.0,10.0,2.0,4584.0,11.0,2.0,3924.0,8340.0,12264.0,1.0,1.0,24.0,12.0,25.0,13.0,0.0,2.0,2.0,,0.0,0.0,4867.0,977438.0,,,979.0,,,978417.0,2004,JUN,2.0,2004-06-01,0.0,4867.0,0.0
Lake,502.0,2.0,0.0,888.0,0.0,0.0,1390.0,2.0,0.0,1406.0,1883.0,3289.0,7.0,2.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,,1025.0,0.0,1564.0,294366.0,,,251.0,,,294617.0,2004,JUN,2.0,2004-06-01,319.0,220.0,0.0
Lassen,289.0,0.0,0.0,489.0,0.0,0.0,778.0,0.0,0.0,825.0,1123.0,1948.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,818.0,165254.0,,,0.0,,,165254.0,2004,JUN,2.0,2004-06-01,0.0,818.0,0.0
Los Angeles,95968.0,1899.0,25.0,173567.0,2965.0,2316.0,269535.0,4864.0,2341.0,226940.0,403077.0,630017.0,4021.0,2302.0,8245.0,3749.0,12266.0,6051.0,33.0,2846.0,2879.0,,0.0,0.0,343360.0,62749159.0,,,800373.0,,,63549532.0,2004,JUN,2.0,2004-06-01,0.0,343360.0,0.0
Madera,1292.0,0.0,0.0,3853.0,5.0,4.0,5145.0,5.0,4.0,3787.0,9872.0,13659.0,0.0,0.0,14.0,5.0,14.0,5.0,0.0,4.0,4.0,,0.0,0.0,5518.0,1154165.0,,,811.0,,,1154976.0,2004,JUN,2.0,2004-06-01,0.0,5518.0,0.0
Marin,510.0,2.0,0.0,1561.0,23.0,14.0,2071.0,25.0,14.0,1129.0,2503.0,3632.0,5.0,2.0,48.0,28.0,53.0,30.0,0.0,21.0,21.0,,0.0,0.0,2113.0,345665.0,,,4331.0,,,349996.0,2004,JUN,2.0,2004-06-01,0.0,2113.0,0.0
Mariposa,106.0,0.0,0.0,225.0,0.0,0.0,331.0,0.0,0.0,278.0,509.0,787.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,366.0,68917.0,,,0.0,,,68917.0,2004,JUN,2.0,2004-06-01,0.0,366.0,0.0
Mendocino,835.0,0.0,0.0,2395.0,6.0,5.0,3230.0,6.0,5.0,2240.0,4793.0,7033.0,0.0,0.0,15.0,6.0,15.0,6.0,0.0,6.0,6.0,,0.0,2035.0,3428.0,628235.0,,,927.0,,,629162.0,2004,JUN,2.0,2004-06-01,1130.0,263.0,0.0
Merced,4443.0,40.0,3.0,5117.0,102.0,11.0,9560.0,142.0,14.0,12818.0,15144.0,27962.0,124.0,43.0,380.0,120.0,504.0,163.0,3.0,20.0,23.0,,0.0,0.0,10357.0,2278425.0,,,9998.0,,,2288423.0,2004,JUN,2.0,2004-06-01,0.0,10357.0,0.0
Modoc,123.0,0.0,0.0,169.0,0.0,0.0,292.0,0.0,0.0,333.0,367.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,292.0,54559.0,,,13.0,,,54572.0,2004,JUN,2.0,2004-06-01,0.0,292.0,0.0
Mono,38.0,0.0,0.0,96.0,0.0,0.0,134.0,0.0,0.0,110.0,151.0,261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,155.0,24665.0,,,0.0,,,24665.0,2004,JUN,2.0,2004-06-01,0.0,155.0,0.0
Monterey,2233.0,4.0,0.0,4406.0,17.0,6.0,6639.0,21.0,6.0,6179.0,11175.0,17354.0,10.0,4.0,45.0,17.0,55.0,21.0,0.0,6.0,6.0,,0.0,0.0,7236.0,1429925.0,,,6220.0,,,1436145.0,2004,JUN,2.0,2004-06-01,0.0,7236.0,0.0
Napa,276.0,2.0,1.0,713.0,5.0,6.0,989.0,7.0,7.0,630.0,1666.0,2296.0,4.0,2.0,10.0,12.0,14.0,14.0,1.0,6.0,7.0,,0.0,0.0,1003.0,202593.0,,,1866.0,,,204459.0,2004,JUN,2.0,2004-06-01,0.0,1003.0,0.0
Nevada,310.0,0.0,0.0,590.0,1.0,0.0,900.0,1.0,0.0,796.0,1216.0,2012.0,0.0,0.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,,0.0,0.0,969.0,170721.0,,,112.0,,,170833.0,2004,JUN,2.0,2004-06-01,0.0,969.0,0.0
Orange,11050.0,128.0,9.0,18632.0,323.0,106.0,29682.0,451.0,115.0,28512.0,48798.0,77310.0,233.0,138.0,775.0,367.0,1008.0,505.0,26.0,149.0,175.0,,0.0,0.0,31162.0,6400658.0,,,50156.0,,,6450814.0,2004,JUN,2.0,2004-06-01,0.0,31162.0,0.0
Placer,867.0,4.0,0.0,1318.0,2.0,1.0,2185.0,6.0,1.0,2342.0,2949.0,5291.0,9.0,8.0,3.0,5.0,12.0,13.0,0.0,1.0,1.0,,0.0,379.0,791.0,142840.0,,,378.0,,,143218.0,2004,JUN,2.0,2004-06-01,207.0,205.0,0.0
Plumas,98.0,0.0,0.0,159.0,0.0,0.0,257.0,0.0,0.0,235.0,358.0,593.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,264.0,47435.0,,,0.0,,,47435.0,2004,JUN,2.0,2004-06-01,0.0,264.0,0.0
Riverside,15489.0,120.0,12.0,9699.0,159.0,57.0,25188.0,279.0,69.0,46554.0,25659.0,72213.0,331.0,137.0,513.0,187.0,844.0,324.0,42.0,79.0,121.0,,0.0,0.0,27216.0,6163153.0,,,27339.0,,,6190492.0,2004,JUN,2.0,2004-06-01,0.0,27216.0,0.0
Sacramento,23829.0,455.0,93.0,13666.0,140.0,146.0,37495.0,595.0,239.0,76255.0,30050.0,106305.0,1082.0,789.0,339.0,212.0,1421.0,1001.0,351.0,216.0,567.0,,0.0,0.0,40751.0,9404536.0,,,107277.0,,,9511813.0,2004,JUN,2.0,2004-06-01,0.0,40751.0,0.0
San Benito,377.0,1.0,0.0,709.0,4.0,3.0,1086.0,5.0,3.0,1095.0,1688.0,2783.0,2.0,1.0,11.0,4.0,13.0,5.0,0.0,3.0,3.0,,0.0,0.0,1094.0,238983.0,,,513.0,,,239496.0,2004,JUN,2.0,2004-06-01,0.0,1094.0,0.0
San Bernardino,23019.0,177.0,2.0,24630.0,406.0,223.0,47649.0,583.0,225.0,65283.0,68689.0,133972.0,464.0,188.0,1257.0,452.0,1721.0,640.0,2.0,283.0,285.0,,0.0,0.0,53543.0,12100116.0,,,70456.0,,,12170572.0,2004,JUN,2.0,2004-06-01,3.0,53540.0,355.0
San Diego,14638.0,221.0,8.0,15211.0,262.0,117.0,29849.0,483.0,125.0,39908.0,41740.0,81648.0,493.0,246.0,691.0,310.0,1184.0,556.0,17.0,161.0,178.0,,0.0,450.0,33257.0,6988732.0,,,53640.0,,,7042372.0,2004,JUN,2.0,2004-06-01,0.0,32807.0,0.0
San Francisco,5235.0,124.0,8.0,13804.0,183.0,337.0,19039.0,307.0,345.0,13597.0,17415.0,31012.0,165.0,146.0,323.0,219.0,488.0,365.0,15.0,453.0,468.0,,0.0,0.0,21210.0,2871103.0,,,72494.0,,,2943597.0,2004,JUN,2.0,2004-06-01,0.0,21210.0,0.0
San Joaquin,6225.0,13.0,0.0,11087.0,30.0,39.0,17312.0,43.0,39.0,17834.0,30450.0,48284.0,37.0,20.0,486.0,225.0,523.0,245.0,0.0,59.0,59.0,,0.0,0.0,18934.0,4242717.0,,,7242.0,,,4249959.0,2004,JUN,2.0,2004-06-01,0.0,18934.0,0.0
San Luis Obispo,1403.0,6.0,0.0,1560.0,13.0,5.0,2963.0,19.0,5.0,2999.0,3392.0,6391.0,14.0,6.0,43.0,14.0,57.0,20.0,0.0,7.0,7.0,,0.0,0.0,3463.0,600144.0,,,1939.0,,,602083.0,2004,JUN,2.0,2004-06-01,0.0,3463.0,0.0
San Mateo,1596.0,5.0,0.0,2139.0,15.0,11.0,3735.0,20.0,11.0,3871.0,4671.0,8542.0,11.0,7.0,35.0,20.0,46.0,27.0,0.0,15.0,15.0,,0.0,0.0,4529.0,825975.0,,,3349.0,,,829324.0,2004,JUN,2.0,2004-06-01,0.0,4529.0,0.0
Santa Barbara,3401.0,76.0,5.0,3436.0,83.0,26.0,6837.0,159.0,31.0,6963.0,8574.0,15537.0,137.0,76.0,238.0,117.0,375.0,193.0,9.0,40.0,49.0,,0.0,0.0,7521.0,1354405.0,,,13421.0,,,1367826.0,2004,JUN,2.0,2004-06-01,0.0,7521.0,0.0
Santa Clara,10049.0,139.0,2.0,11806.0,227.0,268.0,21855.0,366.0,270.0,26404.0,26791.0,53195.0,320.0,149.0,513.0,282.0,833.0,431.0,6.0,386.0,392.0,,0.0,0.0,22441.0,4745364.0,,,82505.0,,,4827869.0,2004,JUN,2.0,2004-06-01,0.0,22441.0,0.0
