,,This page is not accessible. Please refer to the sheet called 'Data' for an accessible data table.,,,,,,,,,,,,,,
,,CalFresh,,,,,,,,,,,,,,
,,Participants by Race/Ethnicity,,,,,,,,,,,,,,
,,State-Only Households,,,,,,,,,,,,,,
Statewide,42917.0,DFA 358S,,,,,,,,,,,,,,
Alameda,,,,,,,,,,,,,,,,
Alpine,,Statewide,,,,,,42186.0,,,,,,,,
Amador,,,,,,,,,,,,,,,,
Butte,,Number of Federal-Only and Combined Households participating in CalFresh during July by race and assistance status.,,,,,,,,,,,,,,
Calaveras,,Race,,,A.  Number of Household Contacts by Race,,,,,,B.  Number of Hispanic or Latino Household Contacts Reported in A. by Race,,,,,
Colusa,,,,,PAFS Households,,NAFS Households,,TOTAL,,PAFS Households,,NAFS Households,,TOTAL,
Contra Costa,,1.  Household Contacts Who Marked Only One Race,,,,,,,,,,,,,,
Del Norte,,American Indian or Alaska Native,,,1.0,2.0,2.0,47.0,3.0,49.0,4.0,2.0,5.0,34.0,6.0,36.0
El Dorado,,Asian Categories,,,7.0,16.0,8.0,3938.0,9.0,3954.0,10.0,1.0,11.0,19.1271889401,12.0,20.1271889401
Fresno,,,Asian Indian,,13.0,2.0,14.0,287.0,15.0,289.0,16.0,0.0,17.0,1.04239631336,18.0,1.04239631336
Glenn,,,Cambodian,,19.0,1.0,20.0,69.0,21.0,70.0,22.0,1.0,23.0,1.0,24.0,2.0
Humboldt,,,Chinese,,25.0,1.0,26.0,1018.0,27.0,1019.0,28.0,0.0,29.0,1.0,30.0,1.0
Imperial,,,Japanese,,31.0,1.0,32.0,10.0,33.0,11.0,34.0,0.0,35.0,0.0,36.0,0.0
Inyo,,,Filipino,,37.0,2.0,38.0,907.0,39.0,909.0,40.0,0.0,41.0,9.0,42.0,9.0
Kern,,,Korean,,43.0,1.0,44.0,144.0,45.0,145.0,46.0,0.0,47.0,0.0,48.0,0.0
Kings,,,Laotian,,49.0,0.0,50.0,22.0,51.0,22.0,52.0,0.0,53.0,0.0,54.0,0.0
Lake,,,Vietnamese,,55.0,6.0,56.0,1186.0,57.0,1192.0,58.0,0.0,59.0,2.08479262673,60.0,2.08479262673
Lassen,,,Other Asian (not included above),,61.0,2.0,62.0,273.0,63.0,275.0,64.0,0.0,65.0,3.0,66.0,3.0
Los Angeles,,,Reporting More Than One Asian Group,,67.0,0.0,68.0,22.0,69.0,22.0,70.0,0.0,71.0,2.0,72.0,2.0
Madera,,Black or African American,,,73.0,7.0,74.0,613.0,75.0,620.0,76.0,0.0,77.0,7.0,78.0,7.0
Marin,,Native Hawaiian or Other Pacific Islander,,,79.0,4.0,80.0,165.0,81.0,169.0,82.0,1.0,83.0,17.0,84.0,18.0
Mariposa,,,Native Hawaiian,,85.0,1.0,86.0,5.0,87.0,6.0,88.0,1.0,89.0,0.0,90.0,1.0
Mendocino,,,Guamanian,,91.0,0.0,92.0,13.0,93.0,13.0,94.0,0.0,95.0,9.0,96.0,9.0
Merced,,,Samoan,,97.0,2.0,98.0,25.0,99.0,27.0,100.0,0.0,101.0,8.0,102.0,8.0
Modoc,,,Other Pacific Islander (not included above),,103.0,1.0,104.0,68.0,105.0,69.0,106.0,0.0,107.0,0.0,108.0,0.0
Mono,,,Reporting More Than One Native Hawaiian or Pacific Islander Group,,109.0,0.0,110.0,54.0,111.0,54.0,112.0,0.0,113.0,0.0,114.0,0.0
Riverside,,White,,,115.0,67.0,116.0,4158.0,117.0,4225.0,118.0,53.0,119.0,1519.33917051,120.0,1572.33917051
Sacramento,,2.  Household Contacts Who Marked Two Races,,,,,,,,,,,,,,
San Benito,,American Indian or Alaska Native and White,,,121.0,0.0,122.0,8.0,123.0,8.0,124.0,0.0,125.0,1.0,126.0,1.0
San Bernardino,,Asian and White,,,127.0,1.0,128.0,38.0,129.0,39.0,130.0,0.0,131.0,2.0,132.0,2.0
San Diego,,Black or African American and White,,,133.0,1.0,134.0,11.0,135.0,12.0,136.0,1.0,137.0,1.0,138.0,2.0
San Francisco,,"American Indian or Alaska Native and
    Black or African American",,,139.0,0.0,140.0,0.0,141.0,0.0,142.0,0.0,143.0,0.0,144.0,0.0
San Joaquin,,3.  Other--Household Contacts Who Chose Racial Combinations Not Included Above,,,,,,,,,,,,,,
San Luis Obispo,,Reporting Race(s) Not Included Above,,,145.0,28.0,146.0,1127.0,147.0,1155.0,148.0,23.0,149.0,678.0,150.0,701.0
San Mateo,,4.  Nonreporting Household Contacts Where Worker Unable to Make Race Determination,,,,,,,,,,,,,,
Santa Barbara,,Worker Unable to Determine Race,,,151.0,27.0,152.0,1201.0,153.0,1228.0,154.0,27.0,155.0,1058.0,156.0,1085.0
Santa Clara,,5.  Totals,,,157.0,153.0,158.0,11306.0,159.0,11459.0,160.0,108.0,161.0,3336.46635945,162.0,3444.46635945
Santa Cruz,,,,,,,,,,,,,,,,
Shasta,,COMMENTS  a/,,,,,,,,,,,,,,
Sierra,,42,,,,,,,,,,,,,,
Siskiyou,,,,,,,,,,,,,,CDSS Use Only:,67936.1198157,
Solano,,,,,,,,,,,,,,,,
Sonoma,,,,,,,,,,,,,,,,
Stanislaus,,,,,,,,,,,,,,,,
Sutter,,,,,,,,,,,,,,,,
Tehama,,,,,,,,,,,,,,,,
Trinity,,,,,,,,,,,,,,,,
Tulare,,,,,,,,,,,,,,,,
Tuolumne,,,,,,,,,,,,,,,,
Ventura,,,,,,,,,,,,,,,,
Yolo,,,,,,,,,,,,,,,,
Yuba,,,,,,,,,,,,,,,,
