,PART A:  APPLICATIONS FOR FOOD STAMPS,,,,,,,,,,"PART A:  APPLICATIONS FOR FOOD STAMPS, cont'd",,,,,PART B:  CERTIFIED CASELOAD MOVEMENT,,,,,,"PART B:  CERTIFIED CASELOAD MOVEMENT, cont'd",,,,,,,,"PART B:  CERTIFIED CASELOAD MOVEMENT, cont'd",,,,,,,,,,,"PART B:  CERTIFIED CASELOAD MOVEMENT, cont'd",,,,,,,,,,PART C:  RECERTIFICATIONS,,,,,,,,,,"PART C:  RECERTIFICATIONS, cont'd",,,,,,,,,
,,1.,2.,3.,4.,4.a.,4.a.(1) PAFS,4.a. (1) NAFS,4.b. PAFS,4.b. NAFS,4.b. (1) PAFS,4.b. (1) NAFS,4.c. PAFS,4.c. NAFS,5.,PAFS,6. PAFS,7. PAFS,7.a. PAFS,7.a PAFS,7.a. PAFS,7.a. NAFS,7.a. NAFS,7.a. NAFS,7.a. PAFS,7.b. PAFS,7.c. PAFS,8. PAFS,8.a. PAFS,8.a.1.,8.b.,8.b.,8.b. PAFS,8.c.,8.c.,8.c. PAFS,9. PAFS,10. PAFS,NAFS,6. NAFS,7. NAFS,7.a. NAFS,7.b. NAFS,7.c. NAFS,8. NAFS,8.a. NAFS,8.b. NAFS,8.c. NAFS,9. NAFS,10. NAFS,11. PAFS,11.a. PAFS,11.a. PAFS,11.a. PAFS,11.a. NAFS,11.a. NAFS,11.a. NAFS,11.a. PAFS,11.b. PAFS,11.b. PAFS,11.b. PAFS,11.b. NAFS,11.b. NAFS,11.b. NAFS,11.b. PAFS,12. PAFS,11. NAFS,11.a. NAFS,11.b. NAFS,12. NAFS
,,Pending,Rec'd,Total,Disposed ,Approved,Approved over 30 days,,Denied,Denied,Denied in over 30 days,,With-,With-,Pending,Adj,Cs frwrd,Cases,Fed apps.,Fed/St apps,St. apps,Fed apps,Fed/St apps,St. apps,Total apps,Transferred,Other ,Total cs open,Pure Fed,Tot Fed,Comb cases St persons,,Fed/St,"St cases, St persons",,Pure St,Cs term,Cs frwrd,Adj,Cs frwrd,Cs added,Tot apps,Transfer'd,Other ,Total cs open,Pure Fed,Fed/St,Pure St,Cs term,Cs frwrd'd,Recerts,Federal,Fed/State,State,Federal,Fed/State,State,Total,Federal,Fed/State,State,Federal,Fed/State,State,Total,Overdue,Recerts,Total,Total,Overdue
County,Adj,last mo,this mo,during mo,,,,,,,,,drawn,drawn,end of mo,,frm lst mo,added,approved,approved,approved,approved,approved,approved,approved,from NAFS,approvals,during mo,cases,Pers count,Singles,Families,comb cs,Singles,Families,cases,during mo,to next mo,,frm lst mo,during mo,approved,frm PAFS,approvals,during mo,cases,comb cs,cases,dur mo,to next mo,disp of,contin elig,contin elig,contin elig,contin elig,contin elig,contin elig,contin elig,inelig,inelig,inelig,inelig,inelig,inelig,Ineligible,recert-CWD,disp of,contin elig,Ineligible,recert-CWD
Data Cell,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,,15.0,17.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,27.0,29.0,31.0,33.0,35.0,36.0,37.0,38.0,40.0,41.0,42.0,44.0,46.0,,16.0,18.0,26.0,28.0,30.0,32.0,34.0,39.0,43.0,45.0,47.0,48.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,66.0,49.0,57.0,65.0,67.0
Statewide,-2038.0,40980.0,97812.0,138792.0,98397.0,60075.0,361.0,887.0,6015.0,25171.0,72.0,426.0,1767.0,5369.0,40395.0,4718.0,276330.0,33468.0,15605.0,243.0,58.0,43008.0,685.0,476.0,15906.0,6003.0,11559.0,309798.0,304686.0,1797304.0,618.0,12648.0,4697.0,5304.0,1508.0,415.0,33540.0,276258.0,4867.0,364169.0,66801.0,44169.0,6291.0,16341.0,430970.0,418741.0,7456.0,4773.0,63629.0,367341.0,20873.0,19854.0,299.0,58.0,22433.0,416.0,250.0,20211.0,644.0,17.0,1.0,3323.0,20.0,28.0,662.0,471.0,26470.0,23099.0,3371.0,521.0
Alameda,,1357.0,3560.0,4917.0,3617.0,2045.0,13.0,5.0,15.0,1240.0,0.0,1.0,0.0,317.0,1300.0,,12139.0,1678.0,751.0,6.0,8.0,1260.0,9.0,11.0,765.0,34.0,879.0,13817.0,13760.0,58952.0,71.0,59.0,57.0,248.0,0.0,0.0,1301.0,12516.0,,7569.0,1960.0,1280.0,25.0,655.0,9529.0,9268.0,67.0,194.0,1764.0,7765.0,897.0,872.0,25.0,0.0,444.0,13.0,7.0,897.0,0.0,0.0,0.0,17.0,1.0,0.0,0.0,8.0,482.0,464.0,18.0,5.0
Alpine,-1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,,24.0,0.0,0.0,0.0,0.0,24.0,24.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0
Amador,,44.0,76.0,120.0,77.0,46.0,0.0,7.0,0.0,21.0,0.0,2.0,0.0,10.0,43.0,,128.0,38.0,3.0,0.0,0.0,43.0,0.0,0.0,3.0,20.0,15.0,166.0,165.0,935.0,0.0,1.0,1.0,0.0,1.0,0.0,32.0,134.0,,241.0,90.0,43.0,18.0,29.0,331.0,330.0,0.0,1.0,92.0,239.0,7.0,5.0,0.0,0.0,17.0,0.0,0.0,5.0,2.0,0.0,0.0,11.0,0.0,0.0,2.0,1.0,28.0,17.0,11.0,0.0
Butte,,322.0,888.0,1210.0,948.0,505.0,9.0,53.0,64.0,304.0,8.0,63.0,27.0,48.0,262.0,,2365.0,326.0,83.0,2.0,0.0,415.0,3.0,2.0,85.0,159.0,82.0,2691.0,2681.0,16818.0,0.0,43.0,10.0,1.0,0.0,0.0,454.0,2237.0,,3907.0,884.0,420.0,271.0,193.0,4791.0,4739.0,45.0,7.0,675.0,4116.0,156.0,144.0,3.0,0.0,281.0,3.0,1.0,147.0,9.0,0.0,0.0,102.0,0.0,0.0,9.0,11.0,387.0,285.0,102.0,42.0
Calaveras,,77.0,133.0,210.0,99.0,57.0,2.0,10.0,4.0,30.0,1.0,5.0,1.0,7.0,111.0,,166.0,33.0,8.0,0.0,0.0,49.0,0.0,0.0,8.0,19.0,6.0,199.0,198.0,1308.0,0.0,0.0,0.0,1.0,8.0,1.0,40.0,159.0,,365.0,96.0,49.0,21.0,26.0,461.0,459.0,0.0,2.0,100.0,361.0,14.0,12.0,0.0,0.0,22.0,0.0,0.0,12.0,2.0,0.0,0.0,20.0,0.0,0.0,2.0,2.0,42.0,22.0,20.0,4.0
