,,This page is not accessible. Please refer to the sheet called 'Data' for an accessible data table.,,,,,,,,,,,,,,
,,Food Stamp Program,,,,,,,,,,,,,,
Statewide,42552.0,Participation and Benefit Issuance Report,,,,,,,,,,,,,,
Alameda,42583.0,DFA 256,,,,,,,,,,,,,,
Alpine,42614.0,,,,,,,,,,,,,,,
Amador,42644.0,Statewide,,,,,,,42887.0,,,,,,,
Butte,42675.0,,,,,,,,,,,,,,,
Calaveras,42705.0,PART A.  PARTICIPATION DURING THE MONTH,,,,,,,,,,,,,,
Colusa,42736.0,,,,Public Assistance,,,,,,Non-Public Assistance,,,,,
Contra Costa,42767.0,,,,(A),,,,,,(B),,,,,
Del Norte,42795.0,,,,Federal,,Federal/State,,State,,Federal,,Federal/State,,State,
El Dorado,42826.0,1.,Number of households,,1.0,240809.0,2.0,4796.0,3.0,277.0,4.0,1706686.0,5.0,20156.0,6.0,10403.0
Fresno,42856.0,2.,Number of persons in federal-only households,,7.0,614850.0,,,,,8.0,3374357.0,,,,
Glenn,42887.0,3.,Number of federal and state persons in federal/state households,,9.0,10835.0,,,10.0,6556.0,11.0,48332.0,,,12.0,24852.0
Humboldt,,4.,Number of persons in state-only households,,,,,,13.0,368.0,,,,,14.0,13338.0
Imperial,,5.,Total number of federal-only households (Cell 1 plus Cell 4),,,,,,,,,,,,15.0,1947495.0
Inyo,,6.,Total number of federal/state households (Cell 2 plus Cell 5),,,,,,,,,,,,16.0,24952.0
Kern,,7.,Total number of state-only households (Cell 3 plus Cell 6),,,,,,,,,,,,17.0,10680.0
Kings,,8.,Total number of persons in federal-only households (Cell 7 plus Cell 8),,,,,,,,,,,,18.0,3989207.0
Lake,,9.,Total number of federal persons in federal/state households (Cell 9 plus Cell 11),,,,,,,,,,,,19.0,59167.0
Lassen,,10.,Total number of state persons in federal/state households (Cell 10 plus Cell 12),,,,,,,,,,,,20.0,31408.0
Los Angeles,,11.,Total number of persons in state-only households (Cell 13 plus Cell 14),,,,,,,,,,,,21.0,13706.0
Madera,,PART B.  ISSUANCES DURING THE MONTH,,,,,,,,,,,,,,
Marin,,12.,Coupons issued by mail,,,,,,,,,,,,22.0,0.0
Mariposa,,13.,Contracted over the counter agents (outside of state/local governments),,,,,,,,,,,,23.0,0.0
Mendocino,,14.,"Other over the counter agents (state/local governments, including HIR systems)",,,,,,,,,,,,24.0,0.0
Merced,,15.,EBT issuances,,,,,,,,,,,,25.0,2136862.0
Modoc,,16.,Total (Cells 22 through 25),,,,,,,,,,,,26.0,2136862.0
Mono,,17.,EBT converted to coupons,,,,,,,,,,27.0,0.0,,
Riverside,,PART C.  VALUE OF BENEFIT ISSUANCES DURING THE MONTH,,,,,,,,,,,,Round to nearest dollar--do not use cents.,,
Sacramento,,18.,Value of federal benefit issuances,,,,,,,,,,,,28.0,555970033.0
San Benito,,19.,Value of state benefit issuances,,,,,,,,,,,,29.0,5232368.0
San Bernardino,,20.,Total (Cell 28 plus Cell 29),,,,,,,,,,,,30.0,561202401.0
San Diego,,COMMENTS  a/,,,,,,,,,,,,,,
San Francisco,,Now revising:  Colusa and Sutter,,,,,,,,,,,,,,
San Joaquin,,,,,,,,,,,,,,,,
San Luis Obispo,,,,,,,,,,,,,,,,
San Mateo,,,,,,,,,,,,,,,,
Santa Barbara,,,,,,,,,,,,,,,,
Santa Clara,,,,,,,,,,,,,,,,
Santa Cruz,,,,,,,,,,,,,,,,
Shasta,,,,,,,,,,,,,,,,
Sierra,,,,,,,,,,,,,,,,
Siskiyou,,,,,,,,,,,,,,,,
Solano,,,,,,,,,,,,,,,,
Sonoma,,,,,,,,,,,,,,,,
Stanislaus,,,,,,,,,,,,,,,,
Sutter,,,,,,,,,,,,,,,,
Tehama,,,,,,,,,,,,,,,,
Trinity,,,,,,,,,,,,,,,,
Tulare,,,,,,,,,,,,,,,,
Tuolumne,,,,,,,,,,,,,,,,
Ventura,,,,,,,,,,,,,,,,
Yolo,,,,,,,,,,,,,,,,
Yuba,,,,,,,,,,,,,,,,
