,,This page is not accessible. Please refer to the sheet called 'Data' for an accessible data table.,,,,,,,,,,,,,,
,,Food Stamp Program,,,,,,,,,,,,,,
Statewide,42186.0,Participation and Benefit Issuance Report,,,,,,,,,,,,,,
Alameda,42217.0,DFA 256,,,,,,,,,,,,,,
Alpine,42248.0,,,,,,,,,,,,,,,
Amador,42278.0,Statewide,,,,,,,42522.0,,,,,,,
Butte,42309.0,,,,,,,,,,,,,,,
Calaveras,42339.0,PART A.  PARTICIPATION DURING THE MONTH,,,,,,,,,,,,,,
Colusa,42370.0,,,,Public Assistance,,,,,,Non-Public Assistance,,,,,
Contra Costa,42401.0,,,,(A),,,,,,(B),,,,,
Del Norte,42430.0,,,,Federal,,Federal/State,,State,,Federal,,Federal/State,,State,
El Dorado,42461.0,1.,Number of households,,1.0,260765.0,2.0,5065.0,3.0,171.0,4.0,1806801.0,5.0,21433.0,6.0,11524.0
Fresno,42491.0,2.,Number of persons in federal-only households,,7.0,663622.0,,,,,8.0,3576634.0,,,,
Glenn,42522.0,3.,Number of federal and state persons in federal/state households,,9.0,11134.0,,,10.0,6862.0,11.0,51386.0,,,12.0,26185.0
Humboldt,,4.,Number of persons in state-only households,,,,,,13.0,275.0,,,,,14.0,14803.0
Imperial,,5.,Total number of federal-only households (Cell 1 plus Cell 4),,,,,,,,,,,,15.0,2067566.0
Inyo,,6.,Total number of federal/state households (Cell 2 plus Cell 5),,,,,,,,,,,,16.0,26498.0
Kern,,7.,Total number of state-only households (Cell 3 plus Cell 6),,,,,,,,,,,,17.0,11695.0
Kings,,8.,Total number of persons in federal-only households (Cell 7 plus Cell 8),,,,,,,,,,,,18.0,4240256.0
Lake,,9.,Total number of federal persons in federal/state households (Cell 9 plus Cell 11),,,,,,,,,,,,19.0,62520.0
Lassen,,10.,Total number of state persons in federal/state households (Cell 10 plus Cell 12),,,,,,,,,,,,20.0,33047.0
Los Angeles,,11.,Total number of persons in state-only households (Cell 13 plus Cell 14),,,,,,,,,,,,21.0,15078.0
Madera,,PART B.  ISSUANCES DURING THE MONTH,,,,,,,,,,,,,,
Marin,,12.,Coupons issued by mail,,,,,,,,,,,,22.0,0.0
Mariposa,,13.,Contracted over the counter agents (outside of state/local governments),,,,,,,,,,,,23.0,0.0
Mendocino,,14.,"Other over the counter agents (state/local governments, including HIR systems)",,,,,,,,,,,,24.0,0.0
Merced,,15.,EBT issuances,,,,,,,,,,,,25.0,2278712.0
Modoc,,16.,Total (Cells 22 through 25),,,,,,,,,,,,26.0,2278712.0
Mono,,17.,EBT converted to coupons,,,,,,,,,,27.0,0.0,,
Riverside,,PART C.  VALUE OF BENEFIT ISSUANCES DURING THE MONTH,,,,,,,,,,,,Round to nearest dollar--do not use cents.,,
Sacramento,,18.,Value of federal benefit issuances,,,,,,,,,,,,28.0,599103503.0
San Benito,,19.,Value of state benefit issuances,,,,,,,,,,,,29.0,5847471.0
San Bernardino,,20.,Total (Cell 28 plus Cell 29),,,,,,,,,,,,30.0,604950974.0
San Diego,,COMMENTS  a/,,,,,,,,,,,,,,
San Francisco,,Now revising:  Fresno,,,,,,,,,,,,,,
San Joaquin,,,,,,,,,,,,,,,,
San Luis Obispo,,,,,,,,,,,,,,,,
San Mateo,,,,,,,,,,,,,,,,
Santa Barbara,,,,,,,,,,,,,,,,
Santa Clara,,,,,,,,,,,,,,,,
Santa Cruz,,,,,,,,,,,,,,,,
Shasta,,,,,,,,,,,,,,,,
Sierra,,,,,,,,,,,,,,,,
Siskiyou,,,,,,,,,,,,,,,,
Solano,,,,,,,,,,,,,,,,
Sonoma,,,,,,,,,,,,,,,,
Stanislaus,,,,,,,,,,,,,,,,
Sutter,,,,,,,,,,,,,,,,
Tehama,,,,,,,,,,,,,,,,
Trinity,,,,,,,,,,,,,,,,
Tulare,,,,,,,,,,,,,,,,
Tuolumne,,,,,,,,,,,,,,,,
Ventura,,,,,,,,,,,,,,,,
Yolo,,,,,,,,,,,,,,,,
Yuba,,,,,,,,,,,,,,,,
