county,am_indian_alaskan_nat_pa,am_indian_alaskan_nat_na,am_indian_alaskan_nat_tot,tot_asian_pa,tot_asian_na,tot_asian_tot,asian_indian_pa,asian_indian_na,asian_indian_tot,cambodian_pa,cambodian_na,cambodian_tot,chinese_pa,chinese_na,chinese_tot,japanese_pa,japanese_na,japanese_tot,filipino_pa,filipino_na,filipino_tot,korean_pa,korean_na,korean_tot,laotian_pa,laotian_na,laotian_tot,vietnamese_pa,vietnamese_na,vietnamese_tot,other_asian_pa,other_asian_na,other_asian_tot,more_than_one_asian_pa,more_than_one_asian_na,more_than_one_asian_tot,black_pa,black_na,black_tot,tot_hawaiian_or_other_pa,tot_hawaiian_or_other_na,tot_hawaiian_or_other_tot,hawaiian_pa,hawaiian_na,hawaiian_tot,guamanian_pa,guamanian_na,guamanian_tot,samoan_pa,samoan_na,samoan_tot,other_pac_island_pa,other_pac_island_na,other_pac_island_tot,more_than_one_hawaiian_pac_island_pa,more_than_one_hawaiian_pac_island_na,more_than_one_hawaiian_pac_island_tot,white_pa,white_na,white_tot,two_races_am_indian_alaska_nat_white_pa,two_races_am_indian_alaska_nat_white_na,two_races_am_indian_alaska_nat_white_tot,two_races_asian_white_pa,two_races_asian_white_na,two_races_asian_white_tot,two_races_black_white_pa,two_races_black_white_na,two_races_black_white_tot,two_races_am_indian_alaska_nat_black_pa,two_races_am_indian_alaska_nat_black_na,two_races_am_indian_alaska_nat_black_tot,reported_races_not_incl_pa,reported_races_not_incl_na,reported_races_not_incl_tot,nonreporting_worker_undecided_pa,nonreporting_worker_undecided_na,nonreporting_worker_undecided_tot,total_pa,total_na,total_tot,hispanic_am_indian_alaska_nat_pa,hispanic_am_indian_alaska_nat_na,hispanic_am_indian_alaska_nat_tot,hispanic_tot_asian_pa,hispanic_tot_asian_na,hispanic_tot_asian_tot,hispanic_asian_indian_pa,hispanic_asian_indian_na,hispanic_asian_indian_tot,hispanic_cambodian_pa,hispanic_cambodian_na,hispanic_cambodian_tot,hispanic_chinese_pa,hispanic_chinese_na,hispanic_chinese_tot,hispanic_japanese_pa,hispanic_japanese_na,hispanic_japanese_tot,hispanic_filipino_pa,hispanic_filipino_na,hispanic_filipino_tot,hispanic_korean_pa,hispanic_korean_na,hispanic_korean_tot,hispanic_laotian_pa,hispanic_laotian_na,hispanic_laotian_tot,hispanic_vietnamese_pa,hispanic_vietnamese_na,hispanic_vietnamese_tot,hispanic_other_asian_pa,hispanic_other_asian_na,hispanic_other_asian_tot,hispanic_more_than_one_asian_pa,hispanic_more_than_one_asian_na,hispanic_more_than_one_asian_tot,hispanic_black_pa,hispanic_black_na,hispanic_black_tot,hispanic_tot_hawaiian_other_pac_island_pa,hispanic_tot_hawaiian_other_pac_island_na,hispanic_tot_hawaiian_other_pac_island_tot,hispanic_hawaiian_pa,hispanic_hawaiian_na,hispanic_hawaiian_tot,hispanic_guamanian_pa,hispanic_guamanian_na,hispanic_guamanian_tot,hispanic_samoan_pa,hispanic_samoan_na,hispanic_samoan_tot,hispanic_other_pac_island_pa,hispanic_other_pac_island_na,hispanic_other_pac_island_tot,hispanic_more_than_one_hawaiian_pac_island_pa,hispanic_more_than_one_hawaiian_pac_island_na,hispanic_more_than_one_hawaiian_pac_island_tot,hispanic_white_pa,hispanic_white_na,hispanic_white_tot,hispanic_two_races_am_indian_alaska_nat_white_pa,hispanic_two_races_am_indian_alaska_nat_white_na,hispanic_two_races_am_indian_alaska_nat_white_tot,hispanic_two_races_asian_white_pa,hispanic_two_races_asian_white_na,hispanic_two_races_asian_white_tot,hispanic_two_races_black_white_pa,hispanic_two_races_black_white_na,hispanic_two_races_black_white_tot,hispanic_two_races_am_indian_alaska_nat_black_pa,hispanic_two_races_am_indian_alaska_nat_black_na,hispanic_two_races_am_indian_alaska_nat_black_tot,hispanic_reported_races_not_incl_pa,hispanic_reported_races_not_incl_na,hispanic_reported_races_not_incl_tot,hispanic_nonreporting_worker_undecided_pa,hispanic_nonreporting_worker_undecided_na,hispanic_nonreporting_worker_undecided_tot,hispanic_tot_pa,hispanic_tot_na,hispanic_tot_tot,year,month,quarter,fulldate,hispanic_pa,hispanic_na,hispanic_tot,asian_pac_islander_pa,asian_pac_islander_na,asian_pac_islander_tot,other_pa,other_na,other_tot,asian_pac_islander_other_pa,asian_pac_islander_other_na,asian_pac_islander_other_tot,asian_pac_islander_total_pa,asian_pac_islander_total_na,asian_pac_islander_total_tot
Calaveras,4.0,26.0,30.0,2.0,20.0,22.0,1.0,7.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,13.0,19.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279.0,1081.0,1360.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,57.0,70.0,0.0,6.0,6.0,306.0,1203.0,1509.0,1.0,2.0,3.0,0.0,5.0,5.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,43.0,49.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,48.0,60.0,0.0,6.0,6.0,20.0,104.0,124.0,2009,JUL,3.0,2009-07-01,,,,,,,,,,,,,,,
Colusa,0.0,7.0,7.0,2.0,7.0,9.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,425.0,483.0,1.0,0.0,1.0,1.0,26.0,27.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,480.0,542.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,258.0,287.0,1.0,0.0,1.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,270.0,300.0,2009,JUL,3.0,2009-07-01,,,,,,,,,,,,,,,
Contra Costa,36.0,120.0,156.0,226.0,684.0,910.0,28.0,65.0,93.0,8.0,16.0,24.0,13.0,61.0,74.0,6.0,3.0,9.0,73.0,262.0,335.0,6.0,14.0,20.0,42.0,73.0,115.0,32.0,126.0,158.0,18.0,55.0,73.0,0.0,9.0,9.0,2034.0,5592.0,7626.0,76.0,139.0,215.0,10.0,29.0,39.0,3.0,6.0,9.0,14.0,21.0,35.0,48.0,78.0,126.0,1.0,5.0,6.0,1405.0,4706.0,6111.0,5.0,9.0,14.0,4.0,8.0,12.0,11.0,29.0,40.0,2.0,16.0,18.0,113.0,374.0,487.0,2384.0,3891.0,6275.0,6296.0,15568.0,21864.0,6.0,21.0,27.0,8.0,24.0,32.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,4.0,12.0,16.0,0.0,0.0,0.0,1.0,6.0,7.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,28.0,62.0,90.0,3.0,11.0,14.0,3.0,6.0,9.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,1.0,1.0,44.0,168.0,212.0,1.0,4.0,5.0,0.0,0.0,0.0,1.0,6.0,7.0,0.0,1.0,1.0,17.0,80.0,97.0,2358.0,3802.0,6160.0,2466.0,4179.0,6645.0,2009,JUL,3.0,2009-07-01,,,,,,,,,,,,,,,
Del Norte,33.0,178.0,211.0,54.0,104.0,158.0,15.0,30.0,45.0,0.0,2.0,2.0,1.0,2.0,3.0,0.0,1.0,1.0,0.0,5.0,5.0,0.0,3.0,3.0,20.0,27.0,47.0,0.0,2.0,2.0,18.0,31.0,49.0,0.0,1.0,1.0,3.0,11.0,14.0,1.0,4.0,5.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,311.0,1202.0,1513.0,3.0,6.0,9.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,5.0,28.0,160.0,188.0,6.0,11.0,17.0,439.0,1683.0,2122.0,1.0,1.0,2.0,2.0,5.0,7.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,23.0,30.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,22.0,138.0,160.0,0.0,11.0,11.0,33.0,179.0,212.0,2009,JUL,3.0,2009-07-01,,,,,,,,,,,,,,,
El Dorado,7.0,28.0,35.0,9.0,61.0,70.0,6.0,28.0,34.0,0.0,4.0,4.0,0.0,1.0,1.0,1.0,5.0,6.0,1.0,15.0,16.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,2.0,2.0,3.0,31.0,34.0,1.0,4.0,5.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,393.0,2471.0,2864.0,0.0,2.0,2.0,0.0,10.0,10.0,1.0,5.0,6.0,0.0,2.0,2.0,48.0,256.0,304.0,15.0,74.0,89.0,477.0,2944.0,3421.0,0.0,2.0,2.0,1.0,10.0,11.0,1.0,5.0,6.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,96.0,112.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,234.0,278.0,13.0,56.0,69.0,74.0,402.0,476.0,2009,JUL,3.0,2009-07-01,,,,,,,,,,,,,,,
Fresno,227.0,543.0,770.0,1356.0,3379.0,4735.0,21.0,143.0,164.0,243.0,380.0,623.0,4.0,37.0,41.0,2.0,30.0,32.0,42.0,156.0,198.0,1.0,14.0,15.0,215.0,569.0,784.0,22.0,110.0,132.0,806.0,1940.0,2746.0,0.0,0.0,0.0,2002.0,6052.0,8054.0,78.0,119.0,197.0,20.0,62.0,82.0,3.0,8.0,11.0,5.0,29.0,34.0,50.0,20.0,70.0,0.0,0.0,0.0,2999.0,10457.0,13456.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11176.0,28448.0,39624.0,17838.0,48998.0,66836.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11176.0,28448.0,39624.0,11176.0,28448.0,39624.0,2009,JUL,3.0,2009-07-01,,,,,,,,,,,,,,,
Glenn,4.0,12.0,16.0,26.0,52.0,78.0,16.0,21.0,37.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,6.0,23.0,29.0,0.0,1.0,1.0,2.0,6.0,8.0,0.0,0.0,0.0,3.0,11.0,14.0,3.0,10.0,13.0,3.0,10.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,337.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,344.0,428.0,24.0,83.0,107.0,237.0,849.0,1086.0,0.0,0.0,0.0,3.0,1.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,17.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,164.0,199.0,12.0,41.0,53.0,53.0,224.0,277.0,2009,JUL,3.0,2009-07-01,,,,,,,,,,,,,,,
Humboldt,102.0,459.0,561.0,41.0,261.0,302.0,12.0,156.0,168.0,0.0,1.0,1.0,1.0,11.0,12.0,1.0,2.0,3.0,8.0,18.0,26.0,0.0,5.0,5.0,7.0,24.0,31.0,1.0,2.0,3.0,11.0,41.0,52.0,0.0,1.0,1.0,22.0,94.0,116.0,5.0,20.0,25.0,2.0,10.0,12.0,1.0,2.0,3.0,1.0,3.0,4.0,1.0,3.0,4.0,0.0,2.0,2.0,751.0,3564.0,4315.0,22.0,57.0,79.0,0.0,4.0,4.0,4.0,13.0,17.0,2.0,3.0,5.0,77.0,347.0,424.0,19.0,85.0,104.0,1045.0,4907.0,5952.0,5.0,10.0,15.0,1.0,12.0,13.0,1.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,6.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,126.0,141.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,42.0,239.0,281.0,6.0,48.0,54.0,73.0,444.0,517.0,2009,JUL,3.0,2009-07-01,,,,,,,,,,,,,,,
Imperial,17.0,67.0,84.0,10.0,84.0,94.0,3.0,46.0,49.0,1.0,12.0,13.0,2.0,7.0,9.0,0.0,1.0,1.0,4.0,8.0,12.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,49.0,159.0,208.0,1.0,4.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1416.0,6541.0,7957.0,3.0,25.0,28.0,4.0,29.0,33.0,2.0,6.0,8.0,0.0,0.0,0.0,202.0,723.0,925.0,57.0,186.0,243.0,1761.0,7824.0,9585.0,1.0,7.0,8.0,5.0,60.0,65.0,2.0,43.0,45.0,1.0,12.0,13.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,7.0,17.0,24.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1360.0,6210.0,7570.0,3.0,24.0,27.0,4.0,25.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,196.0,705.0,901.0,56.0,183.0,239.0,1633.0,7232.0,8865.0,2009,JUL,3.0,2009-07-01,,,,,,,,,,,,,,,
Inyo,64.0,97.0,161.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,35.0,356.0,391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,19.0,22.0,4.0,81.0,85.0,107.0,561.0,668.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,19.0,21.0,4.0,81.0,85.0,7.0,111.0,118.0,2009,JUL,3.0,2009-07-01,,,,,,,,,,,,,,,
Kern,25.0,242.0,267.0,413.0,1871.0,2284.0,348.0,1403.0,1751.0,23.0,151.0,174.0,2.0,25.0,27.0,1.0,4.0,5.0,22.0,199.0,221.0,1.0,7.0,8.0,4.0,17.0,21.0,3.0,26.0,29.0,8.0,36.0,44.0,1.0,3.0,4.0,1073.0,3442.0,4515.0,37.0,79.0,116.0,3.0,13.0,16.0,0.0,4.0,4.0,27.0,41.0,68.0,6.0,13.0,19.0,1.0,8.0,9.0,2935.0,14726.0,17661.0,3.0,24.0,27.0,2.0,8.0,10.0,23.0,60.0,83.0,5.0,22.0,27.0,1758.0,10623.0,12381.0,712.0,3289.0,4001.0,6986.0,34386.0,41372.0,5.0,118.0,123.0,171.0,891.0,1062.0,153.0,719.0,872.0,8.0,109.0,117.0,0.0,16.0,16.0,0.0,1.0,1.0,6.0,39.0,45.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,4.0,4.0,1.0,1.0,2.0,1.0,0.0,1.0,53.0,160.0,213.0,20.0,35.0,55.0,0.0,0.0,0.0,0.0,1.0,1.0,20.0,29.0,49.0,0.0,4.0,4.0,0.0,1.0,1.0,806.0,5408.0,6214.0,0.0,13.0,13.0,2.0,5.0,7.0,3.0,11.0,14.0,4.0,18.0,22.0,1650.0,10126.0,11776.0,594.0,2769.0,3363.0,3308.0,19554.0,22862.0,2009,JUL,3.0,2009-07-01,,,,,,,,,,,,,,,
Kings,4.0,27.0,31.0,122.0,408.0,530.0,113.0,319.0,432.0,0.0,13.0,13.0,0.0,5.0,5.0,0.0,5.0,5.0,6.0,50.0,56.0,1.0,0.0,1.0,0.0,7.0,7.0,1.0,1.0,2.0,1.0,8.0,9.0,0.0,0.0,0.0,132.0,466.0,598.0,4.0,30.0,34.0,1.0,2.0,3.0,0.0,1.0,1.0,2.0,25.0,27.0,0.0,1.0,1.0,1.0,1.0,2.0,338.0,1807.0,2145.0,1.0,1.0,2.0,1.0,3.0,4.0,0.0,3.0,3.0,1.0,21.0,22.0,499.0,2766.0,3265.0,41.0,272.0,313.0,1143.0,5804.0,6947.0,1.0,6.0,7.0,67.0,226.0,293.0,66.0,207.0,273.0,0.0,10.0,10.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,6.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,2.0,25.0,27.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,24.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,482.0,564.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,16.0,17.0,468.0,2673.0,3141.0,37.0,254.0,291.0,658.0,3701.0,4359.0,2009,JUL,3.0,2009-07-01,,,,,,,,,,,,,,,
Lake,20.0,86.0,106.0,46.0,52.0,98.0,27.0,28.0,55.0,0.0,1.0,1.0,2.0,1.0,3.0,0.0,3.0,3.0,14.0,7.0,21.0,0.0,0.0,0.0,3.0,8.0,11.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,36.0,72.0,108.0,4.0,7.0,11.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,4.0,768.0,2033.0,2801.0,6.0,7.0,13.0,9.0,9.0,18.0,4.0,6.0,10.0,0.0,2.0,2.0,54.0,138.0,192.0,23.0,62.0,85.0,970.0,2474.0,3444.0,1.0,5.0,6.0,3.0,13.0,16.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,121.0,151.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,43.0,119.0,162.0,22.0,59.0,81.0,99.0,322.0,421.0,2009,JUL,3.0,2009-07-01,,,,,,,,,,,,,,,
Lassen,11.0,51.0,62.0,4.0,12.0,16.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,6.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,11.0,15.0,7.0,10.0,17.0,0.0,2.0,2.0,2.0,1.0,3.0,0.0,0.0,0.0,5.0,6.0,11.0,0.0,1.0,1.0,206.0,708.0,914.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,13.0,53.0,66.0,5.0,20.0,25.0,250.0,869.0,1119.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,24.0,32.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,50.0,62.0,4.0,19.0,23.0,24.0,96.0,120.0,2009,JUL,3.0,2009-07-01,,,,,,,,,,,,,,,
Los Angeles,987.0,3036.0,4023.0,2125.0,9650.0,11775.0,52.0,290.0,342.0,542.0,1559.0,2101.0,341.0,2028.0,2369.0,30.0,165.0,195.0,365.0,1415.0,1780.0,176.0,835.0,1011.0,41.0,241.0,282.0,358.0,2350.0,2708.0,198.0,659.0,857.0,22.0,108.0,130.0,14831.0,70910.0,85741.0,1086.0,3806.0,4892.0,46.0,193.0,239.0,688.0,2127.0,2815.0,327.0,1421.0,1748.0,0.0,0.0,0.0,25.0,65.0,90.0,41224.0,135267.0,176491.0,327.0,916.0,1243.0,108.0,352.0,460.0,304.0,1073.0,1377.0,23.0,170.0,193.0,3493.0,9190.0,12683.0,19507.0,40124.0,59631.0,84015.0,274494.0,358509.0,926.0,2480.0,3406.0,150.0,620.0,770.0,2.0,11.0,13.0,64.0,217.0,281.0,3.0,11.0,14.0,5.0,10.0,15.0,14.0,45.0,59.0,2.0,3.0,5.0,26.0,200.0,226.0,2.0,11.0,13.0,26.0,86.0,112.0,6.0,26.0,32.0,383.0,1087.0,1470.0,880.0,3149.0,4029.0,17.0,67.0,84.0,680.0,2094.0,2774.0,159.0,924.0,1083.0,0.0,0.0,0.0,24.0,64.0,88.0,32970.0,103398.0,136368.0,291.0,704.0,995.0,41.0,114.0,155.0,75.0,155.0,230.0,6.0,62.0,68.0,0.0,0.0,0.0,19507.0,40124.0,59631.0,55229.0,151893.0,207122.0,2009,JUL,3.0,2009-07-01,,,,,,,,,,,,,,,
Madera,12.0,36.0,48.0,26.0,191.0,217.0,16.0,156.0,172.0,1.0,10.0,11.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,14.0,15.0,3.0,0.0,3.0,1.0,3.0,4.0,0.0,2.0,2.0,4.0,4.0,8.0,0.0,0.0,0.0,54.0,228.0,282.0,2.0,3.0,5.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,652.0,4299.0,4951.0,2.0,5.0,7.0,9.0,29.0,38.0,1.0,10.0,11.0,1.0,2.0,3.0,215.0,1237.0,1452.0,54.0,229.0,283.0,1028.0,6269.0,7297.0,2.0,4.0,6.0,14.0,151.0,165.0,12.0,138.0,150.0,1.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0,19.0,27.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,314.0,2741.0,3055.0,0.0,0.0,0.0,5.0,26.0,31.0,0.0,2.0,2.0,1.0,0.0,1.0,203.0,1187.0,1390.0,26.0,183.0,209.0,574.0,4313.0,4887.0,2009,JUL,3.0,2009-07-01,,,,,,,,,,,,,,,
