county,req_exped_service_pend_prev_qtr,req_exped_service_reported_pending_end_prev_qtr,req_exped_service_adjustment,req_exped_service_rcv_this_qtr,req_exped_service_tot_this_qtr,req_exped_service_tot_pacf_disposed_this_qtr,req_exped_service_tot_disposed_pacf_entitled_to_exped_service,req_exped_service_disposed_entitled_pacf_1_to_3_days,req_exped_service_disposed_entitled_pacf_4_to_7_days,req_exped_service_disposed_entitled_pacf_over_7_days,req_exped_service_tot_nacf_disposed_this_qtr,req_exped_service_tot_disposed_nacf_entitled_to_exped_service,req_exped_service_disposed_entitled_nacf_1_to_3_days,req_exped_service_disposed_entitled_nacf_4_to_7_days,req_exped_service_disposed_entitled_nacf_over_7_days,req_exped_service_tot_disposed_this_qtr,req_exped_service_tot_disposed_entitled_to_exped_service,req_exped_service_disposed_entitled_tot_1_to_3_days,req_exped_service_disposed_entitled_tot_4_to_7_days,req_exped_service_disposed_entitled_tot_over_7_days,req_exped_service_disposed_pacf_not_entitled,req_exped_service_disposed_nacf_not_entitled,req_exped_service_disposed_tot_not_entitled,req_exped_service_disposed_pending_end_qtr,app_compliance_info_pacf_fail_complete_app_process,app_compliance_info_nacf_fail_complete_app_process,app_compliance_info_tot_hh_fail_complete_app_process,year,month,quarter,fulldate
Colusa,\N,\N,\N,\N,\N,\N,\N,13.0,47.0,\N,\N,\N,13.0,47.0,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2012,JAN,1.0,2012-01-01
Santa Cruz,1.0,2.0,3.0,4.0,5.0,6.0,9.0,12.0,15.0,18.0,7.0,10.0,13.0,16.0,19.0,8.0,11.0,14.0,17.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,2012,JAN,1.0,2012-01-01
California,32780.0,42649.0,-9869.0,354990.0,387770.0,21049.0,8844.0,8186.0,392.0,266.0,327195.0,131103.0,121520.0,5980.0,3603.0,237376.0,139947.0,129706.0,6372.0,3869.0,12205.0,196092.0,208297.0,39526.0,44.0,8564.0,8608.0,2012,JAN,1.0,2012-01-01
Alameda,0.0,0.0,0.0,10330.0,10330.0,371.0,228.0,161.0,29.0,38.0,9959.0,4550.0,3994.0,376.0,180.0,1347.0,4778.0,4155.0,405.0,218.0,143.0,5409.0,5552.0,0.0,1.0,65.0,66.0,2012,JAN,1.0,2012-01-01
Alpine,0.0,1.0,-1.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,23.0,17.0,17.0,0.0,0.0,254.0,17.0,17.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,2012,JAN,1.0,2012-01-01
Amador,9.0,38.0,-29.0,522.0,531.0,26.0,5.0,5.0,0.0,0.0,476.0,224.0,212.0,6.0,6.0,1545.0,229.0,217.0,6.0,6.0,21.0,252.0,273.0,29.0,0.0,1.0,1.0,2012,JAN,1.0,2012-01-01
Butte,47.0,206.0,-159.0,3795.0,3842.0,192.0,57.0,55.0,2.0,0.0,3441.0,1362.0,1273.0,61.0,28.0,4538.0,1419.0,1328.0,63.0,28.0,135.0,2079.0,2214.0,209.0,0.0,4.0,4.0,2012,JAN,1.0,2012-01-01
Calaveras,2.0,23.0,-21.0,663.0,665.0,54.0,15.0,15.0,0.0,0.0,609.0,265.0,262.0,1.0,2.0,75.0,280.0,277.0,1.0,2.0,39.0,344.0,383.0,2.0,0.0,0.0,0.0,2012,JAN,1.0,2012-01-01
Colusa,8.0,8.0,0.0,208.0,216.0,9.0,5.0,5.0,0.0,0.0,197.0,86.0,86.0,0.0,0.0,341.0,91.0,91.0,0.0,0.0,4.0,111.0,115.0,10.0,0.0,0.0,0.0,2012,JAN,1.0,2012-01-01
Contra Costa,414.0,439.0,-25.0,5390.0,5804.0,135.0,80.0,60.0,17.0,3.0,5233.0,1768.0,1457.0,259.0,52.0,4456.0,1848.0,1517.0,276.0,55.0,55.0,3465.0,3520.0,436.0,0.0,7.0,7.0,2012,JAN,1.0,2012-01-01
Del Norte,63.0,63.0,0.0,493.0,556.0,30.0,15.0,15.0,0.0,0.0,458.0,281.0,275.0,3.0,3.0,1193.0,296.0,290.0,3.0,3.0,15.0,177.0,192.0,68.0,0.0,1.0,1.0,2012,JAN,1.0,2012-01-01
El Dorado,9.0,50.0,-41.0,1729.0,1738.0,76.0,36.0,36.0,0.0,0.0,1634.0,880.0,817.0,33.0,30.0,998.0,916.0,853.0,33.0,30.0,40.0,754.0,794.0,28.0,0.0,9.0,9.0,2012,JAN,1.0,2012-01-01
Fresno,420.0,186.0,234.0,12201.0,12621.0,219.0,129.0,120.0,7.0,2.0,12219.0,5267.0,5006.0,200.0,61.0,1148.0,5396.0,5126.0,207.0,63.0,90.0,6952.0,7042.0,183.0,0.0,25.0,25.0,2012,JAN,1.0,2012-01-01
Glenn,0.0,11.0,-11.0,271.0,271.0,18.0,8.0,8.0,0.0,0.0,250.0,120.0,120.0,0.0,0.0,1347.0,128.0,128.0,0.0,0.0,10.0,130.0,140.0,3.0,0.0,1.0,1.0,2012,JAN,1.0,2012-01-01
Humboldt,30.0,128.0,-98.0,2992.0,3022.0,152.0,61.0,59.0,1.0,1.0,2731.0,1133.0,1005.0,76.0,52.0,254.0,1194.0,1064.0,77.0,53.0,91.0,1598.0,1689.0,139.0,0.0,14.0,14.0,2012,JAN,1.0,2012-01-01
Imperial,6.0,97.0,-91.0,2050.0,2056.0,166.0,98.0,96.0,2.0,0.0,1777.0,773.0,755.0,11.0,7.0,1545.0,871.0,851.0,13.0,7.0,68.0,1004.0,1072.0,113.0,0.0,1.0,1.0,2012,JAN,1.0,2012-01-01
Inyo,2.0,6.0,-4.0,233.0,235.0,8.0,1.0,1.0,0.0,0.0,219.0,120.0,120.0,0.0,0.0,4538.0,121.0,121.0,0.0,0.0,7.0,99.0,106.0,8.0,0.0,0.0,0.0,2012,JAN,1.0,2012-01-01
Kern,71.0,798.0,-727.0,14400.0,14471.0,1560.0,510.0,498.0,8.0,4.0,12176.0,4969.0,4853.0,72.0,44.0,75.0,5479.0,5351.0,80.0,48.0,1050.0,7207.0,8257.0,735.0,2.0,2.0,4.0,2012,JAN,1.0,2012-01-01
