county,req_exped_service_adjustment,req_exped_service_pend_prev_qtr,req_exped_service_rcv_this_qtr,req_exped_service_tot_this_qtr,req_exped_service_tot_disposed_this_qtr,req_exped_service_tot_disposed_entitled_to_exped_service,req_exped_service_disposed_entitled_pacf_1_to_3_days,req_exped_service_disposed_entitled_pacf_4_to_5_days,req_exped_service_disposed_entitled_pacf_over_5_days,req_exped_service_disposed_entitled_nacf_1_to_3_days,req_exped_service_disposed_entitled_nacf_4_to_5_days,req_exped_service_disposed_entitled_nacf_over_5_days,req_exped_service_disposed_tot_not_entitled,req_exped_service_disposed_pacf_not_entitled,req_exped_service_disposed_nacf_not_entitled,req_exped_service_disposed_pending_end_qtr,app_compliance_info_tot_hh_fail_complete_app_process,app_compliance_info_pacf_fail_complete_app_process,app_compliance_info_nacf_fail_complete_app_process,year,month,quarter,fulldate
California,-164.0,31293.0,142786.0,174079.0,143689.0,48517.0,6393.0,612.0,3930.0,30490.0,2418.0,4674.0,95172.0,15590.0,79582.0,30390.0,2741.0,269.0,2472.0,2003,APR,2.0,2003-04-01
Alameda,,0.0,1910.0,1910.0,1910.0,1781.0,98.0,8.0,14.0,1476.0,39.0,146.0,129.0,18.0,111.0,0.0,0.0,0.0,0.0,2003,APR,2.0,2003-04-01
Alpine,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2003,APR,2.0,2003-04-01
Amador,,7.0,80.0,87.0,79.0,67.0,1.0,0.0,0.0,65.0,0.0,1.0,12.0,0.0,12.0,8.0,4.0,0.0,4.0,2003,APR,2.0,2003-04-01
Butte,,9.0,585.0,594.0,580.0,431.0,67.0,4.0,14.0,307.0,11.0,28.0,149.0,16.0,133.0,14.0,55.0,6.0,49.0,2003,APR,2.0,2003-04-01
Calaveras,3.0,3.0,118.0,121.0,104.0,85.0,13.0,0.0,3.0,62.0,1.0,6.0,19.0,1.0,18.0,17.0,0.0,0.0,0.0,2003,APR,2.0,2003-04-01
Colusa,,0.0,47.0,47.0,47.0,38.0,9.0,1.0,0.0,28.0,0.0,0.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,2003,APR,2.0,2003-04-01
Contra Costa,,0.0,1766.0,1766.0,1766.0,545.0,247.0,4.0,3.0,274.0,9.0,8.0,1221.0,181.0,1040.0,0.0,3.0,3.0,0.0,2003,APR,2.0,2003-04-01
Del Norte,,8.0,132.0,140.0,140.0,109.0,12.0,0.0,1.0,92.0,2.0,2.0,31.0,6.0,25.0,0.0,0.0,0.0,0.0,2003,APR,2.0,2003-04-01
El Dorado,,4.0,123.0,127.0,117.0,99.0,15.0,2.0,3.0,51.0,5.0,23.0,18.0,4.0,14.0,10.0,2.0,0.0,2.0,2003,APR,2.0,2003-04-01
Fresno,,1614.0,2938.0,4552.0,3130.0,2603.0,476.0,25.0,35.0,1775.0,177.0,115.0,527.0,379.0,148.0,1422.0,0.0,0.0,0.0,2003,APR,2.0,2003-04-01
Glenn,,0.0,76.0,76.0,76.0,67.0,11.0,1.0,0.0,53.0,0.0,2.0,9.0,0.0,9.0,0.0,2.0,0.0,2.0,2003,APR,2.0,2003-04-01
Humboldt,,0.0,478.0,478.0,478.0,398.0,6.0,1.0,3.0,197.0,84.0,107.0,80.0,24.0,56.0,0.0,24.0,7.0,17.0,2003,APR,2.0,2003-04-01
Imperial,,0.0,26.0,26.0,26.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,2003,APR,2.0,2003-04-01
Inyo,,3.0,53.0,56.0,49.0,37.0,5.0,1.0,0.0,27.0,1.0,3.0,12.0,1.0,11.0,7.0,0.0,0.0,0.0,2003,APR,2.0,2003-04-01
Kern,,71.0,4043.0,4114.0,4054.0,1311.0,260.0,1.0,1.0,1019.0,8.0,22.0,2743.0,956.0,1787.0,60.0,371.0,128.0,243.0,2003,APR,2.0,2003-04-01
Kings,,10.0,565.0,575.0,569.0,282.0,68.0,5.0,2.0,182.0,18.0,7.0,287.0,111.0,176.0,6.0,30.0,6.0,24.0,2003,APR,2.0,2003-04-01
Lake,,191.0,271.0,462.0,271.0,219.0,54.0,0.0,1.0,156.0,5.0,3.0,52.0,10.0,42.0,191.0,2.0,0.0,2.0,2003,APR,2.0,2003-04-01
Lassen,,0.0,124.0,124.0,123.0,49.0,10.0,0.0,2.0,32.0,4.0,1.0,74.0,22.0,52.0,1.0,0.0,0.0,0.0,2003,APR,2.0,2003-04-01
Los Angeles,,20400.0,77764.0,98164.0,78278.0,18295.0,727.0,350.0,3471.0,9146.0,1336.0,3265.0,59983.0,4999.0,54984.0,19886.0,1817.0,29.0,1788.0,2003,APR,2.0,2003-04-01
Madera,,5.0,268.0,273.0,260.0,175.0,46.0,1.0,0.0,127.0,1.0,0.0,85.0,10.0,75.0,13.0,16.0,7.0,9.0,2003,APR,2.0,2003-04-01
Marin,,46.0,160.0,206.0,137.0,102.0,3.0,1.0,4.0,85.0,6.0,3.0,35.0,0.0,35.0,69.0,4.0,0.0,4.0,2003,APR,2.0,2003-04-01
Mariposa,-3.0,0.0,23.0,23.0,22.0,18.0,5.0,0.0,0.0,13.0,0.0,0.0,4.0,0.0,4.0,1.0,0.0,0.0,0.0,2003,APR,2.0,2003-04-01
Mendocino,-6.0,0.0,297.0,297.0,289.0,260.0,51.0,0.0,1.0,196.0,9.0,3.0,29.0,5.0,24.0,8.0,1.0,0.0,1.0,2003,APR,2.0,2003-04-01
Merced,-125.0,1120.0,294.0,1414.0,285.0,46.0,7.0,0.0,3.0,32.0,1.0,3.0,239.0,90.0,149.0,1129.0,0.0,0.0,0.0,2003,APR,2.0,2003-04-01
Modoc,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2003,APR,2.0,2003-04-01
Mono,,0.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2003,APR,2.0,2003-04-01
Monterey,-11.0,15.0,991.0,1006.0,987.0,404.0,78.0,6.0,4.0,298.0,6.0,12.0,583.0,65.0,518.0,19.0,8.0,2.0,6.0,2003,APR,2.0,2003-04-01
Napa,,10.0,355.0,365.0,354.0,80.0,1.0,1.0,1.0,67.0,2.0,8.0,274.0,81.0,193.0,11.0,13.0,0.0,13.0,2003,APR,2.0,2003-04-01
Nevada,,101.0,80.0,181.0,70.0,51.0,7.0,0.0,2.0,39.0,1.0,2.0,19.0,9.0,10.0,111.0,1.0,0.0,1.0,2003,APR,2.0,2003-04-01
Orange,,19.0,647.0,666.0,645.0,546.0,72.0,0.0,0.0,470.0,0.0,4.0,99.0,18.0,81.0,21.0,0.0,0.0,0.0,2003,APR,2.0,2003-04-01
Placer,,45.0,335.0,380.0,335.0,189.0,43.0,0.0,0.0,139.0,3.0,4.0,146.0,28.0,118.0,45.0,1.0,1.0,0.0,2003,APR,2.0,2003-04-01
Plumas,,0.0,25.0,25.0,24.0,20.0,1.0,0.0,0.0,18.0,1.0,0.0,4.0,0.0,4.0,1.0,5.0,0.0,5.0,2003,APR,2.0,2003-04-01
