county,req_exped_service_adjustment,req_exped_service_pend_prev_qtr,req_exped_service_rcv_this_qtr,req_exped_service_tot_this_qtr,req_exped_service_tot_disposed_this_qtr,req_exped_service_tot_disposed_entitled_to_exped_service,req_exped_service_disposed_entitled_pacf_1_to_3_days,req_exped_service_disposed_entitled_pacf_4_to_5_days,req_exped_service_disposed_entitled_pacf_over_5_days,req_exped_service_disposed_entitled_nacf_1_to_3_days,req_exped_service_disposed_entitled_nacf_4_to_5_days,req_exped_service_disposed_entitled_nacf_over_5_days,req_exped_service_disposed_tot_not_entitled,req_exped_service_disposed_pacf_not_entitled,req_exped_service_disposed_nacf_not_entitled,req_exped_service_disposed_pending_end_qtr,app_compliance_info_tot_hh_fail_complete_app_process,app_compliance_info_pacf_fail_complete_app_process,app_compliance_info_nacf_fail_complete_app_process,year,month,quarter,fulldate
Colusa,\N,\N,\N,\N,\N,\N,13.0,45.0,\N,13.0,45.0,\N,\N,\N,\N,\N,\N,\N,\N,2003,JAN,1.0,2003-01-01
California,-28.0,29959.0,139559.0,169518.0,138061.0,47888.0,5690.0,581.0,4037.0,30076.0,2464.0,5040.0,90173.0,14089.0,76084.0,31457.0,2619.0,271.0,2348.0,2003,JAN,1.0,2003-01-01
Alameda,\N,0.0,1970.0,1970.0,1970.0,1638.0,87.0,5.0,19.0,1339.0,27.0,161.0,332.0,45.0,287.0,0.0,0.0,0.0,0.0,2003,JAN,1.0,2003-01-01
Alpine,\N,0.0,5.0,5.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,2003,JAN,1.0,2003-01-01
Amador,\N,6.0,69.0,75.0,68.0,57.0,3.0,0.0,0.0,48.0,4.0,2.0,11.0,4.0,7.0,7.0,1.0,0.0,1.0,2003,JAN,1.0,2003-01-01
Butte,\N,9.0,559.0,568.0,559.0,434.0,65.0,3.0,4.0,312.0,17.0,33.0,125.0,14.0,111.0,9.0,66.0,11.0,55.0,2003,JAN,1.0,2003-01-01
Calaveras,-8.0,0.0,106.0,106.0,106.0,82.0,23.0,0.0,2.0,55.0,0.0,2.0,24.0,0.0,24.0,0.0,1.0,0.0,1.0,2003,JAN,1.0,2003-01-01
Colusa,\N,0.0,60.0,60.0,60.0,48.0,2.0,0.0,0.0,46.0,0.0,0.0,12.0,0.0,12.0,0.0,1.0,0.0,1.0,2003,JAN,1.0,2003-01-01
Contra Costa,\N,0.0,1693.0,1693.0,1693.0,537.0,211.0,0.0,1.0,298.0,20.0,7.0,1156.0,177.0,979.0,0.0,2.0,1.0,1.0,2003,JAN,1.0,2003-01-01
Del Norte,\N,1.0,166.0,167.0,159.0,130.0,24.0,0.0,1.0,98.0,4.0,3.0,29.0,3.0,26.0,8.0,2.0,0.0,2.0,2003,JAN,1.0,2003-01-01
El Dorado,\N,11.0,113.0,124.0,120.0,88.0,9.0,1.0,3.0,56.0,5.0,14.0,32.0,10.0,22.0,4.0,2.0,0.0,2.0,2003,JAN,1.0,2003-01-01
Fresno,\N,1759.0,3471.0,5230.0,3616.0,3061.0,390.0,50.0,38.0,2196.0,220.0,167.0,555.0,374.0,181.0,1614.0,0.0,0.0,0.0,2003,JAN,1.0,2003-01-01
Glenn,\N,0.0,71.0,71.0,71.0,56.0,11.0,0.0,0.0,44.0,0.0,1.0,15.0,0.0,15.0,0.0,0.0,0.0,0.0,2003,JAN,1.0,2003-01-01
Humboldt,\N,0.0,540.0,540.0,540.0,450.0,8.0,4.0,7.0,236.0,75.0,120.0,90.0,27.0,63.0,0.0,27.0,8.0,19.0,2003,JAN,1.0,2003-01-01
Imperial,\N,0.0,32.0,32.0,32.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,2003,JAN,1.0,2003-01-01
Inyo,\N,5.0,67.0,72.0,69.0,53.0,5.0,1.0,0.0,43.0,2.0,2.0,16.0,2.0,14.0,3.0,0.0,0.0,0.0,2003,JAN,1.0,2003-01-01
Kern,\N,52.0,3922.0,3974.0,3903.0,1265.0,210.0,4.0,1.0,1018.0,11.0,21.0,2638.0,818.0,1820.0,71.0,275.0,91.0,184.0,2003,JAN,1.0,2003-01-01
Kings,\N,10.0,601.0,611.0,601.0,282.0,61.0,2.0,6.0,179.0,19.0,15.0,319.0,103.0,216.0,10.0,39.0,13.0,26.0,2003,JAN,1.0,2003-01-01
Lake,\N,181.0,314.0,495.0,304.0,249.0,57.0,1.0,2.0,176.0,7.0,6.0,55.0,16.0,39.0,191.0,8.0,0.0,8.0,2003,JAN,1.0,2003-01-01
Lassen,\N,0.0,148.0,148.0,148.0,55.0,11.0,1.0,0.0,38.0,3.0,2.0,93.0,28.0,65.0,0.0,4.0,1.0,3.0,2003,JAN,1.0,2003-01-01
Los Angeles,\N,19856.0,75833.0,95689.0,75289.0,17984.0,636.0,323.0,3602.0,8720.0,1348.0,3355.0,57305.0,4588.0,52717.0,20400.0,1745.0,21.0,1724.0,2003,JAN,1.0,2003-01-01
Madera,\N,2.0,230.0,232.0,227.0,153.0,35.0,0.0,0.0,118.0,0.0,0.0,74.0,3.0,71.0,5.0,3.0,1.0,2.0,2003,JAN,1.0,2003-01-01
Marin,\N,36.0,154.0,190.0,144.0,115.0,7.0,1.0,3.0,92.0,7.0,5.0,29.0,0.0,29.0,46.0,2.0,0.0,2.0,2003,JAN,1.0,2003-01-01
Mariposa,\N,2.0,32.0,34.0,31.0,23.0,3.0,0.0,0.0,20.0,0.0,0.0,8.0,0.0,8.0,3.0,0.0,0.0,0.0,2003,JAN,1.0,2003-01-01
Mendocino,-3.0,3.0,264.0,267.0,261.0,232.0,32.0,0.0,2.0,188.0,5.0,5.0,29.0,4.0,25.0,6.0,0.0,0.0,0.0,2003,JAN,1.0,2003-01-01
Merced,\N,1197.0,318.0,1515.0,270.0,40.0,9.0,0.0,2.0,25.0,1.0,3.0,230.0,95.0,135.0,1245.0,1.0,0.0,1.0,2003,JAN,1.0,2003-01-01
Modoc,\N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2003,JAN,1.0,2003-01-01
Mono,\N,0.0,6.0,6.0,6.0,6.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2003,JAN,1.0,2003-01-01
