,,This page is not accessible. Please refer to the sheet called 'Data' for an accessible data table.,,,,,,,,,,,,,,,,,,,,,,
,,CALFRESH MONTHLY CASELOAD MOVEMENT,,,,,,,,,,,,,,,,,,,,,,
Statewide,42552.0,STATISTICAL REPORT,,,,,,,,,,,,,,,,,,,,,,
Alameda,42583.0,CF 296,,,,,,,,,,,,,,,,,,,,,,
Alpine,42614.0,,,,,,,,,,,,,,,,,,,,,,,
Amador,42644.0,Statewide,,,,,,,,,,,42887.0,,,,,,,,,,,
Butte,42675.0,PART A.  APPLICATIONS FOR CALFRESH,,,,,,,,,,,,,,,,,,,,,TOTAL,
Calaveras,42705.0,1.  ,Applications received during the month…………………………………………………………………………………..…………………………………………………………………………………………………………………………………………………………………………………………………………….,,,,,,,,,,,,,,,,,,,,1.0,143718.0
Colusa,42736.0,,a.  ,Online applications received during the month………………………………………………………………………………………………...…………..……………………………………………………………………………………….…………………………...……………………………………………………………………………..………………………………………………………………………………………....…………………………………,,,,,,,,,,,,,,,,,,,2.0,37229.0
Contra Costa,42767.0,2.  ,"Applications disposed of during the month (Sum of Items 2a, 2b and 2c)………………………..……………………………………………………………………………………….………..……………………………………………………………………………………….……………………...……………………………………………………...……………………………………",,,,,,,,,,,,,,,,,,,,3.0,137181.0
Del Norte,42795.0,,a.,Applications approved (Same as Item 5a/Cell 61) ……………………………………………………………………………………..……………………………………………………………………………………….………………………………………………………………………………………………………………...………………………………………………………………………………..,,,,,,,,,,,,,,,,,,,4.0,93439.0
El Dorado,42826.0,,,,,,,,,,,,,,,,,,PACF (A),,NACF (B),,TOTAL (C),
Fresno,42856.0,,,1),Applications approved in over 30 days (CWD caused) ………………..……………………………………………………………………………………….………..……………………………………………………………………………………….………………..……………………………………………………………………………………………………………………………………………………………………………………...…..,,,,,,,,,,,,,,5.0,118.0,6.0,1087.0,7.0,1205.0
Glenn,42887.0,,b.,Applications denied (Item 2b1 plus Item 2b2) ………………..……………………………………………………………………………………….………..……………………………………………………………………………………….………………………………………………………………………………………………………………………………………………………………………………………………...……………..….,,,,,,,,,,,,,,,8.0,152.0,9.0,38337.0,10.0,38489.0
Humboldt,,,,1),Applications denied because determined ineligible…………………..……………………………………………………………………………………….………..……………………………………………………………………………………….………..……………………………………………………………………………………….………………………………………………………………………………………………,,,,,,,,,,,,,,11.0,85.0,12.0,18393.0,13.0,18478.0
Imperial,,,,2),Applications denied for procedural reasons………………..……………………………………………………………………………………….………..……………………………………………………………………………………….………..……………………………………………………………………………………….………………………………………………………………………………………………………………………………………..,,,,,,,,,,,,,,14.0,67.0,15.0,19944.0,16.0,20011.0
Inyo,,,,3),Applications denied in over 30 days (CWD caused)……………………..……………………………………………………………………………………….………..……………………………………………………………………………………….………………………………………………………………………………………………………………………………………………………………………………………………....,,,,,,,,,,,,,,17.0,25.0,18.0,1532.0,19.0,1557.0
Kern,,,c.,Applications withdrawn…………………..……………………………………………………………………………………….………..……………………………………………………………………………………….………..……………………………………………………………………………………….………………………………………………………………………….………………………………………………………………………………………………………………………………………………………………...……,,,,,,,,,,,,,,,20.0,56.0,21.0,5197.0,22.0,5253.0
Kings,,PART B.  APPLICATIONS PROCESSED UNDER EXPEDITED SERVICES (ES),,,,,,,,,,,,,,,,,PACF (A),,NACF (B),,TOTAL (C),
Lake,,3.,"Of the applications disposed of during the month in Item 2, applications processed under ES (Item 3A plus Item 3B)…………..……………………………………………………………………………………….………..……………………………………………………………………………………….………..……………………………………………………………………………………….…………….…",,,,,,,,,,,,,,,,23.0,4566.0,24.0,117528.0,25.0,122094.0
Lassen,,,a. , Found entitled to ES (Sum of Items 3a1 through 3a3)……………………………………………..……………………………………………………………………………………….………..……………………………………………………………………………………….………..……………………………………………………………………………………….……………..……………………………………………………,,,,,,,,,,,,,,,26.0,2912.0,27.0,52442.0,28.0,55354.0
Los Angeles,,,,1)  ,Benefits issued in 1-3 days……………………………………………………………………………………………………..………………...……………………………………………………………………..………………...……………………………………………………………………..………………...……………………………………………………………………..………………...…………………………..………………...…………………………,,,,,,,,,,,,,,29.0,2585.0,30.0,49658.0,31.0,52243.0
Madera,,,,2)  ,Benefits issued in 4-7 days…………………………………………………………..………………...……………………………………………………………………..………………...……………………………………………………………………..………………...……………………………………………………………………..………………...………………………………………………...………………………….…………………...…………………………,,,,,,,,,,,,,,32.0,136.0,33.0,1473.0,34.0,1609.0
Marin,,,,3)  ,Benefits issued in over 7 days…………………………………………………………..………………...……………………………………………………………………..………………...……………………………………………………………………..………………...…………………………………………………..…………………………..………………………………………….….…..,,,,,,,,,,,,,,35.0,191.0,36.0,1311.0,37.0,1502.0
